#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      216.2   120.7   109.4   153.9   162.7   205.5   225.2   235.3   243.9   252.9   266.2   287.3   369.5  1981.0  4126.8  29982.9    30000  1745440914891  1745440925042
read      235.6   210.0   127.6   158.9   166.0   208.9   229.2   240.5   249.3   259.8   273.5   303.6  1020.5  3085.1  6200.8  30040.4    30005  1745440926554  1745440936690
read      228.1   180.6   118.1   158.1   165.2   205.6   225.0   235.1   244.0   253.3   267.6   292.3   786.9  2591.6  4937.1  30083.1    30010  1745440938201  1745440948301
read      229.7   195.2   127.6   157.8   164.9   205.9   225.6   235.7   244.8   254.0   268.8   294.8   798.2  3083.8  6109.9  30015.9    30015  1745440949812  1745440959914
read      230.5   207.1   118.1   156.0   163.8   205.3   225.1   235.4   244.4   253.8   268.5   294.4   937.3  3018.3  6274.6  29978.2    30020  1745440961426  1745440971534
read      233.6   204.1   127.6   161.4   167.6   208.1   227.5   238.0   247.0   256.6   271.1   297.7   916.0  3060.6  6209.4  29988.1    30025  1745440973046  1745440983146
read      234.7   204.2   118.1   159.7   166.7   209.7   229.6   240.9   249.5   260.0   273.5   304.1   863.0  3114.9  6133.0  29994.9    30030  1745440984657  1745440994766
read      230.6   197.6   118.1   158.1   165.4   205.9   225.5   235.7   244.8   254.2   268.9   294.5   889.6  3027.7  6109.2  29999.2    30035  1745440996278  1745441006379
read      232.4   201.5   118.1   157.6   165.5   207.3   227.3   237.9   247.1   257.0   271.3   297.0   909.7  3130.1  6102.1  30004.9    30040  1745441007891  1745441017993
read      233.2   202.6   127.6   161.3   167.6   208.4   228.0   238.4   247.3   256.9   271.3   297.9   876.6  3055.3  6236.9  30057.2    30045  1745441019506  1745441029612
read      229.3   190.4   118.1   159.2   165.7   205.5   225.1   235.1   243.9   253.3   267.9   294.0   859.5  2803.9  6080.0  30092.8    30050  1745441031123  1745441041225
read      227.8   191.3   118.1   157.0   164.6   204.7   224.5   234.7   243.3   252.7   266.9   291.8   740.7  2919.9  6079.0  30144.8    30055  1745441042737  1745441052836
read      228.1   192.1   118.1   156.5   164.0   205.0   225.0   235.1   243.9   253.0   267.6   293.5   800.7  2749.0  6142.1  29995.4    30060  1745441054348  1745441064463
read      226.0   186.2   118.1   157.5   164.5   203.8   223.3   233.5   241.8   251.4   265.5   291.5   677.3  2758.9  6211.6  29978.6    30065  1745441065977  1745441076079
read      229.3   175.1   127.6   162.1   168.7   209.9   229.3   239.7   247.9   256.8   270.2   293.3   545.1  2527.6  6181.6  30103.4    30070  1745441077591  1745441087692
read      220.0    68.5   127.6   165.1   174.1   214.6   232.3   242.4   249.5   257.6   269.0   286.7   332.2   569.5  3030.3  29960.2    30075  1745441089204  1745441099307
read      222.0    80.2   127.6   164.6   173.7   215.4   234.1   245.1   252.4   261.9   272.7   291.9   342.9   675.8  3561.0  29994.0    30080  1745441100820  1745441110920
read      220.2    68.5   118.1   164.5   173.7   215.1   232.9   243.1   250.0   258.3   269.5   287.5   333.0   519.0  3167.8  30111.9    30085  1745441112431  1745441122532
read      223.1   114.0   118.1   165.4   174.5   215.6   233.3   243.6   250.6   259.2   270.5   289.4   343.5  1377.9  4429.5  30086.1    30090  1745441124045  1745441134180
