#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      183.4   127.6    80.4   113.4   121.4   167.8   190.7   203.9   214.5   228.0   247.8   289.7   445.1  1198.9  5764.3  29969.9    30000  1746107467976  1746107478125
read      190.6   147.0    74.4   114.8   122.9   170.2   193.6   207.7   218.3   233.1   256.2   309.6   539.1  2107.2  5454.4  30035.7    30005  1746107479639  1746107489911
read      182.2   123.0    74.4   112.3   120.1   166.8   189.4   202.2   212.8   225.5   244.0   281.1   435.0  1845.2  4702.5  30038.2    30010  1746107491423  1746107501617
read      188.6   188.2    74.4   108.3   114.6   159.3   183.8   198.4   210.1   225.2   249.0   300.5   783.7  2741.6  6099.7  29943.8    30015  1746107503128  1746107513224
read      191.1   196.5    74.4   109.3   115.4   159.7   183.9   199.0   211.1   226.9   251.7   308.3   821.7  2719.8  6221.3  30042.1    30020  1746107514735  1746107524831
read      190.1   190.7    74.4   107.8   114.3   159.6   184.9   200.7   213.7   230.2   255.6   311.0   785.9  2747.9  6182.1  29899.5    30025  1746107526341  1746107536437
read      187.5   184.1    74.4   108.7   114.9   158.9   183.1   197.9   209.6   224.4   246.9   293.2   786.2  2688.5  5982.3  30001.9    30030  1746107537948  1746107548044
read      191.3   196.1    80.4   109.2   115.3   159.6   184.0   199.3   212.0   228.6   254.1   311.3   825.8  2737.9  6245.9  29987.1    30035  1746107549554  1746107559651
read      185.9   175.1    74.4   109.3   115.3   159.5   183.7   198.4   210.1   224.8   246.5   291.4   750.3  2685.1  6061.4  30053.6    30040  1746107561162  1746107571260
read      192.5   204.4    74.4   109.0   115.1   159.1   183.1   198.3   210.7   226.9   252.5   315.0   841.8  2802.5  6235.3  30005.5    30045  1746107572770  1746107582864
read      192.4   194.2    80.4   109.7   115.8   160.9   186.0   201.4   214.4   231.0   257.5   315.8   799.2  2771.9  6241.5  30029.1    30050  1746107584374  1746107594469
read      200.7   212.4    74.4   108.2   114.6   160.7   187.1   204.7   219.3   240.0   275.3   364.4   924.8  2802.7  6196.4  30015.2    30055  1746107595980  1746107606077
read      190.6   191.8    74.4   108.4   114.9   159.8   184.5   200.0   212.8   229.1   253.7   308.2   807.1  2785.1  6167.8  30125.2    30060  1746107607588  1746107617684
read      191.2   181.9    74.4   108.7   115.1   161.3   186.4   202.1   215.3   231.9   257.5   312.7   802.2  2713.1  6047.7  30053.3    30065  1746107619197  1746107629294
read      187.8   186.2    74.4   109.0   115.0   158.3   182.0   196.7   208.4   223.4   246.8   296.9   817.7  2736.9  6029.6  30033.2    30070  1746107630804  1746107640900
read      201.5   210.9    74.4   109.2   115.3   161.4   187.2   204.5   218.6   239.0   275.2   368.7   935.8  2774.5  6232.5  30062.3    30075  1746107642410  1746107652505
read      187.5   162.8    74.4   108.9   115.4   161.6   185.7   200.8   213.3   229.4   254.9   309.2   652.7  2505.2  5051.0  30135.6    30080  1746107654018  1746107664114
read      180.5    92.7    74.4   113.2   121.2   166.9   188.8   201.5   212.0   224.6   242.5   279.2   411.2  1446.7  2696.4  30090.7    30085  1746107665625  1746107675722
