#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      171.6    96.5    74.4   117.4   125.9   163.1   177.9   185.9   193.1   201.1   213.5   232.7   309.5  1128.2  3923.4   4947.4     5000  1746887910806  1746887916062
read      172.4   148.5    68.9   116.6   126.6   164.6   180.0   188.4   196.0   204.3   216.6   236.7   302.3   945.7 10665.6   9987.8    10000  1746887917566  1746887922804
read      173.2    68.6    63.8   113.7   125.7   169.0   184.4   193.7   200.1   209.1   219.9   241.4   299.2   498.8  1998.9  15004.0    15000  1746887924307  1746887929504
read      181.2    61.3    63.8   112.2   125.1   178.2   195.5   205.0   212.6   221.0   232.9   253.2   313.3   910.9  2293.3  19930.4    20000  1746887931008  1746887936210
read      179.8    67.1    63.8   106.3   118.6   178.4   196.7   206.6   213.9   222.8   234.4   254.6   313.8   483.9  2958.1  24937.0    25000  1746887937714  1746887942917
read      185.4    81.5    63.8   104.8   116.7   183.2   204.5   215.6   223.9   233.3   247.4   271.0   336.6   539.6  3441.5  30003.4    30000  1746887944422  1746887949623
read      186.5    58.3    63.8   103.6   115.5   187.1   209.4   220.4   228.6   237.2   250.7   272.1   332.4   453.7  1374.5  34915.4    35000  1746887951128  1746887956330
read      187.8    63.5    63.8   101.0   112.0   187.2   212.8   225.5   233.9   245.4   260.1   286.1   355.5   466.2   985.1  40065.4    40000  1746887957835  1746887963037
read      191.0   199.1    59.1    99.3   110.2   188.6   215.7   228.5   236.6   247.5   260.6   282.7   344.3   515.3 12052.7  45108.0    45000  1746887964541  1746887969741
read      191.5    96.3    63.8    97.9   109.0   191.6   221.5   234.5   244.1   254.2   268.9   291.8   352.9   493.5  2848.0  49837.6    50000  1746887971247  1746887976450
read      189.3    70.4    63.8    98.1   108.7   188.4   220.0   233.3   242.9   253.2   267.8   290.8   346.6   494.4  1451.5  54934.3    55000  1746887977954  1746887983155
read      191.5    80.3    59.1    96.2   106.3   189.0   224.4   239.5   249.9   261.9   275.9   300.8   361.2   485.4  2374.2  60017.0    60000  1746887984659  1746887989857
read      189.3    77.6    59.1    96.3   106.0   184.7   221.8   237.0   247.5   259.0   273.1   296.9   357.4   527.2  2410.7  64805.2    65000  1746887991363  1746887996566
read      190.4    70.8    63.8    95.6   105.3   184.6   224.4   240.9   251.5   264.0   278.7   303.8   368.4   513.2   966.8  69944.9    70000  1746887998072  1746888003272
read      194.6    91.4    54.7    96.2   106.1   184.1   226.0   244.0   255.5   269.0   286.8   316.6   421.0   822.2  2804.5  74978.9    75000  1746888004777  1746888009978
read      186.8    97.8    59.1    94.7   103.6   176.0   218.7   237.1   248.8   261.9   277.0   303.8   369.3   544.0  1389.0  79898.8    80000  1746888011484  1746888016688
read      188.4    98.4    59.1    94.4   103.4   175.6   219.7   239.4   251.9   265.7   282.7   310.2   378.9   676.1  2526.6  85057.8    85000  1746888018194  1746888023398
read      189.3    91.3    59.1    93.7   102.7   177.9   222.8   243.0   255.4   269.2   286.5   312.7   371.1   514.2  1840.7  89823.8    90000  1746888024903  1746888030107
read      191.5    95.4    59.1    94.8   103.7   175.2   219.6   241.2   255.1   270.8   291.1   323.6   428.7   917.4  3305.1  95034.2    95000  1746888031613  1746888036818
read      196.2   156.6    59.1    95.2   104.2   174.6   220.1   243.2   258.0   273.8   295.3   332.2   498.0  1567.4  3769.3 100054.4   100000  1746888038323  1746888043524
read      182.6    81.8    59.1    93.6   101.9   166.2   208.3   231.9   246.8   262.5   281.3   311.2   380.4   607.7  2113.2 105007.5   105000  1746888045029  1746888050231
read      188.4    80.8    63.8    95.2   104.3   172.2   215.8   239.2   253.8   270.1   290.7   320.3   394.9   596.0  1726.2 110034.4   110000  1746888051737  1746888056939
read      185.8    87.5    59.1    94.2   103.0   169.7   210.8   234.1   249.1   265.5   286.1   317.7   394.1   576.4  2876.9 114904.6   115000  1746888058445  1746888063645
read      188.3   101.1    59.1    93.9   102.6   167.9   210.6   235.3   252.1   271.1   295.4   334.3   434.2   831.0  4109.2 119927.5   120000  1746888065151  1746888070351
read      185.2    87.3    59.1    94.6   103.3   168.7   208.7   232.4   247.9   265.0   286.5   318.7   395.0   591.9  2598.0 125098.6   125000  1746888071859  1746888077061
read      183.8    83.4    59.1    95.0   103.5   165.3   203.5   228.0   244.8   263.1   285.4   319.3   408.2   796.0  1802.5 129816.8   130000  1746888078565  1746888083769
read      189.4   106.3    59.1    95.5   104.5   168.9   209.2   233.5   250.4   269.4   293.5   332.0   445.6   962.7  3873.9 134761.0   135000  1746888085274  1746888090474
read      184.5    87.5    59.1    96.4   105.4   166.6   203.5   227.1   243.6   262.1   285.1   320.0   406.2   698.8  2188.4 139953.3   140000  1746888091980  1746888097181
read      177.2    73.0    59.1    94.7   103.0   161.0   195.8   218.0   234.3   252.4   273.8   307.3   371.5   512.1  1304.0 144805.5   145000  1746888098686  1746888103889
read      188.0    88.7    63.8    97.4   107.1   170.0   206.2   228.7   245.0   264.2   289.3   328.6   426.2   791.1  2347.7 149830.4   150000  1746888105393  1746888110597
read      193.5    91.7    59.1   100.3   111.1   177.6   214.6   236.2   252.3   271.0   295.0   332.4   416.8   641.9  2268.6 154605.2   155000  1746888112102  1746888117304
read      186.0    91.0    59.1    97.8   108.0   170.5   204.6   225.8   240.9   259.0   283.1   319.8   401.8   625.3  2386.0 159987.8   160000  1746888118809  1746888124020
read      194.0   100.3    63.8   102.4   112.9   177.4   212.1   232.7   248.4   267.5   293.0   333.4   428.5   692.4  4083.7 164819.4   165000  1746888125525  1746888130725
read      192.0    89.0    59.1   101.0   111.5   175.7   210.3   230.9   246.4   265.6   291.3   333.0   430.8   678.8  1803.3 170282.6   170000  1746888132230  1746888137434
read      210.8   117.8    59.1   107.9   120.1   191.7   228.0   249.7   266.8   288.2   317.0   367.3   525.6   984.7  2291.6 174859.2   175000  1746888138939  1746888144142
read      208.6   103.5    59.1   107.0   119.3   190.4   226.8   248.5   265.6   287.0   315.5   364.2   496.4   858.8  2746.2 180035.2   180000  1746888145648  1746888150853
read      216.8   106.9    63.8   111.3   124.3   197.2   233.3   255.4   272.6   294.1   323.8   376.0   544.6  1193.4  2784.2 184924.5   185000  1746888152358  1746888157561
read      218.0    87.5    59.1   116.9   131.2   203.9   238.9   260.1   275.4   294.9   320.0   362.0   461.8   713.9  1776.6 190080.7   190000  1746888159065  1746888164266
read      219.9   108.8    63.8   117.1   131.4   204.0   238.8   260.2   275.7   295.7   322.1   368.3   484.8   843.2  4091.1 195169.1   195000  1746888165770  1746888170974
read      229.0   100.6    63.8   121.0   136.5   212.3   248.1   270.0   287.0   308.2   337.5   389.0   527.9   869.1  2731.8 200328.1   200000  1746888172479  1746888177681
read      225.8   108.3    63.8   120.0   135.2   210.3   244.9   266.1   282.2   302.4   331.1   380.4   508.3   796.5  2395.4 205025.8   205000  1746888179186  1746888184389
read      240.9   108.0    68.9   125.9   142.1   222.7   260.5   283.5   301.0   323.4   356.2   413.2   569.3   981.6  2616.2 207197.5   210000  1746888185895  1746888191099
read      248.9   114.6    63.8   133.6   151.3   234.4   271.2   292.7   309.2   329.4   357.7   403.9   530.3   863.1  4172.4 213968.9   215000  1746888192605  1746888197808
read      276.4   111.1    68.9   152.9   173.8   263.6   299.5   320.0   336.8   357.2   386.1   436.6   585.6   966.6  3899.1 213725.1   220000  1746888199312  1746888204514
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 79.87%,39.60%,100.00%
