#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      172.9   245.1    68.9   114.0   121.6   155.7   171.0   180.5   187.1   197.4   211.7   236.3   317.1  2954.7 10470.9   4937.4     5000  1746883085260  1746883090518
read      175.5   216.8    68.9   112.9   123.1   163.4   180.0   189.7   198.0   208.4   222.7   249.3   319.7  1086.3 11370.9   9967.4    10000  1746883092023  1746883097265
read      174.7    55.8    63.8   107.3   120.0   169.3   187.3   198.1   206.1   216.4   231.0   255.8   321.8   602.5  1815.6  15032.6    15000  1746883098771  1746883103970
read      184.5    96.1    63.8   104.5   117.9   179.2   199.5   211.5   220.0   231.4   247.0   271.8   334.4  1241.4  3562.2  19952.0    20000  1746883105477  1746883110680
read      188.2    72.7    63.8   103.7   115.8   184.6   208.1   221.6   231.5   244.0   260.1   285.6   342.8   492.4  1960.4  25012.6    25000  1746883112185  1746883117394
read      207.2    85.4    59.1   101.5   114.1   201.5   238.9   257.0   268.8   282.1   297.2   320.9   374.3   534.9  2277.2  30077.6    30000  1746883118899  1746883124098
read      196.6    70.0    63.8    99.9   111.2   192.8   223.8   241.0   253.2   267.1   283.8   309.3   364.7   493.5  1213.0  34904.2    35000  1746883125603  1746883130805
read      204.8    95.9    63.8    99.6   110.6   197.9   234.9   255.1   268.1   282.6   299.8   326.4   390.0   727.8  3085.9  40104.0    40000  1746883132310  1746883137511
read      205.1    81.1    59.1    97.2   107.9   198.8   239.1   260.0   273.1   288.7   307.6   335.6   397.7   549.7  1328.5  45125.2    45000  1746883139016  1746883144218
read      208.0    94.2    63.8    98.7   109.4   199.3   242.9   263.5   276.5   292.5   312.2   340.8   404.2   619.4  2870.3  50041.0    50000  1746883145723  1746883150924
read      207.7    91.0    59.1    97.3   108.1   197.3   243.2   265.2   279.6   296.3   317.1   346.3   416.5   619.2  2046.5  54934.2    55000  1746883152430  1746883157632
read      206.5   101.1    63.8    96.7   106.8   193.5   241.2   264.7   280.1   297.1   318.0   347.5   417.4   727.5  2565.2  60132.2    60000  1746883159137  1746883164351
read      209.8    93.9    59.1    95.4   106.1   196.5   247.5   271.6   288.1   306.4   328.3   360.7   425.7   574.7  2133.8  64858.0    65000  1746883165855  1746883171056
read      215.4   107.6    59.1    97.1   108.0   197.9   251.2   278.2   295.9   315.5   339.5   374.0   460.7   807.7  2742.3  69842.0    70000  1746883172562  1746883177762
read      215.4   153.8    63.8    96.4   107.2   196.6   250.1   278.3   296.8   317.2   341.8   377.0   455.6   677.0 10356.7  75218.6    75000  1746883179268  1746883184469
read      215.7   103.6    59.1    95.5   106.5   198.0   252.1   280.7   299.5   319.8   344.7   381.7   457.1   653.7  2394.8  80182.0    80000  1746883185974  1746883191176
read      214.8   107.0    63.8    94.8   105.8   195.9   249.8   278.8   298.3   319.8   345.9   385.1   462.7   633.9  2625.8  85079.2    85000  1746883192681  1746883197883
read      217.5   112.9    63.8    97.0   108.2   196.0   249.4   278.0   298.5   320.7   347.6   389.7   495.7  1028.7  2600.2  89975.6    90000  1746883199388  1746883204589
read      216.4   108.7    59.1    97.5   108.7   195.7   249.1   278.3   299.0   321.7   349.2   389.3   467.7   687.1  2576.8  94715.8    95000  1746883206095  1746883211296
read      216.9   122.8    59.1    96.6   108.0   195.2   248.6   277.7   298.7   321.5   349.6   391.2   480.3   806.2  3361.2 100003.9   100000  1746883212801  1746883218002
read      217.0   106.7    59.1    97.2   108.9   194.6   248.1   278.9   300.1   323.5   352.0   393.7   487.6   785.5  2076.6 105066.8   105000  1746883219508  1746883224710
read      221.7   109.4    63.8    99.0   111.2   199.9   253.5   284.6   306.2   330.4   359.6   400.6   489.6   734.2  2248.9 110093.2   110000  1746883226215  1746883231419
read      218.8   107.5    59.1    98.3   110.4   196.5   249.5   279.5   301.0   325.2   354.9   398.1   492.0   773.8  2332.1 114887.1   115000  1746883232924  1746883238127
read      221.1   101.1    59.1    99.7   112.2   200.7   252.1   281.4   302.5   326.4   356.0   399.2   494.2   725.5  1596.0 119843.6   120000  1746883239632  1746883244835
read      232.7   103.1    59.1   106.0   120.3   215.7   266.9   295.4   315.7   338.9   367.6   409.6   497.8   666.3  1760.0 124818.8   125000  1746883246340  1746883251542
read      232.9   118.6    63.8   108.2   122.5   213.8   264.6   293.9   314.6   338.2   367.1   408.5   497.5   694.7  3226.5 130235.0   130000  1746883253046  1746883258248
read      243.2   117.7    63.8   112.9   128.9   222.8   274.7   304.6   325.0   348.5   378.8   426.2   545.6   990.6  2681.3 134994.8   135000  1746883259754  1746883264956
read      253.0   118.9    63.8   119.8   137.2   234.4   287.1   316.1   336.7   360.6   390.6   435.2   538.7   772.3  2763.1 140092.5   140000  1746883266461  1746883271662
read      293.6   137.2    63.8   137.6   158.7   273.3   328.7   361.7   386.2   415.7   454.5   512.7   628.1   892.8  4394.6 144799.2   145000  1746883273168  1746883278370
read      393.2   147.4    74.4   213.8   239.5   349.4   450.5   502.2   532.3   563.1   596.2   640.8   742.5  1061.9  2332.2 149930.7   150000  1746883279875  1746883285078
read      415.4   168.4    80.4   233.0   260.3   361.8   462.1   532.5   569.2   603.8   638.4   685.6   785.4  1076.5  4529.6 150460.4   155000  1746883286584  1746883291785
read      434.2   167.5    74.4   256.3   281.2   368.5   475.3   568.0   607.7   640.6   673.6   717.4   805.1  1086.9  3219.0 148088.1   160000  1746883293291  1746883298492
read      440.4   169.9    74.4   270.7   295.0   368.3   451.5   590.2   629.2   660.1   687.6   727.4   802.4  1044.8  3422.0 146375.5   165000  1746883299998  1746883305205
read      429.2   163.1    80.4   257.6   280.9   364.1   465.0   564.3   603.1   634.5   667.2   706.7   785.7   980.0  3646.5 150190.2   170000  1746883306709  1746883311914
read      428.6   172.6    86.8   264.3   286.1   357.2   445.6   576.0   612.2   640.6   668.4   700.0   778.4   990.9  5024.5 150454.5   175000  1746883313419  1746883318637
read      447.6   165.7    93.8   276.7   299.2   374.3   463.6   599.6   638.7   668.0   697.4   735.2   805.5  1022.3  3205.4 144269.9   180000  1746883320143  1746883325357
read      450.5   178.2    74.4   273.2   298.5   382.8   460.1   589.8   636.3   671.2   706.3   744.6   837.3  1099.1  3971.3 143310.0   185000  1746883326862  1746883332067
read      438.9   173.5    80.4   258.2   284.6   371.6   467.8   572.9   616.0   651.8   684.3   728.9   822.4  1154.4  4310.7 147016.8   190000  1746883333573  1746883338776
read      458.6   173.5    80.4   273.2   300.0   391.2   479.0   598.1   644.7   680.3   717.2   761.5   862.7  1184.3  3184.0 140825.6   195000  1746883340282  1746883345483
read      438.7   189.1    80.4   258.9   284.5   373.4   462.2   565.2   610.8   648.5   683.0   729.4   822.3  1247.1  6208.7 147096.4   200000  1746883346989  1746883352193
read      436.4   172.0    74.4   259.6   284.3   370.6   462.5   567.3   610.8   646.6   679.7   724.1   807.0  1122.0  4342.5 147879.8   205000  1746883353698  1746883358900
read      455.9   173.2    86.8   279.3   303.1   388.0   461.8   597.0   644.5   679.3   715.1   754.5   845.3  1044.7  3933.9 141694.5   210000  1746883360406  1746883365611
read      435.8   164.7    68.9   259.9   284.7   367.3   471.3   575.9   614.8   647.4   677.8   719.7   803.4  1075.0  3292.2 148104.0   215000  1746883367115  1746883372321
read      450.3   175.1    86.8   270.5   296.8   386.7   463.6   578.6   628.2   666.9   704.4   746.2   842.2  1072.3  3841.9 143416.1   220000  1746883373826  1746883379030
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 78.17%,34.50%,100.00%
