Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747236234052
Timestamp end: 1747237014286

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      274.8   467.0    63.8   116.1   137.1   219.2   245.0   261.0   272.7   289.3   313.2   371.4  1911.9  7650.6  8404.2   8150.5     8195
read      411.4   640.6    68.9   160.2   185.6   284.7   332.3   366.1   395.6   436.9   509.7   975.2  3334.2  8097.3 13904.5 158284.9   158594
read      255.7   262.9    63.8   121.7   135.3   215.2   256.9   281.6   299.9   322.3   355.0   415.8  1364.8  3425.6  7683.8 149749.6   149766
read      305.7   538.0    68.9   123.5   142.0   218.5   245.8   262.5   274.6   292.6   320.4   435.4  3029.5  7784.1  8137.8  10362.8    10382
read      346.1   498.5    74.4   154.2   176.6   278.0   319.3   344.2   364.5   390.6   430.9   566.1  1628.5  7231.0 17905.5 170589.8   170548
read      236.7   280.8    63.8   116.8   128.8   199.6   240.9   266.2   284.6   306.8   335.8   384.8   974.0  3322.8 10878.8 150636.1   150565
read      238.7   286.0    63.8   113.0   123.9   194.0   236.6   263.1   282.0   304.6   334.2   385.3  1357.3  3471.7  7947.7 137210.3   137144
read      231.8   268.2    63.8   113.6   125.0   194.4   235.3   261.0   279.4   301.5   330.6   376.1   674.2  3491.8  8917.1 143619.9   143496
read      241.0   319.8    59.1   114.1   126.0   198.2   240.9   267.2   286.3   309.1   339.0   391.0  1167.7  4518.2 10803.5 144680.0   144743
read      324.7   612.8    63.8   112.9   124.8   214.5   265.1   295.4   320.2   356.8   433.5   832.0  2438.1  9086.8 14067.4 116742.0   116745
read      355.6   573.5    68.9   119.3   134.2   231.0   273.6   301.2   324.3   359.6   436.4  1285.6  3120.0  7425.9 11478.8 129503.2   129314
read      280.5   412.7    68.9   116.6   129.4   212.6   255.4   280.2   298.6   321.7   355.9   430.5  2676.9  4375.4  8055.1 144981.2   144723
read      269.2   379.3    68.9   110.8   121.1   199.6   250.6   280.2   302.3   330.2   371.2   504.7  1563.9  5526.3  9234.9 117419.3   117379
read      367.6   671.8    68.9   117.0   130.8   228.0   274.0   304.4   331.0   372.5   519.6  1231.7  2997.2  9199.5 15250.2 119858.1   119931
read      300.4   441.5    59.1   114.9   127.5   215.4   264.2   291.6   312.6   339.6   383.4   715.9  1907.3  6194.9 12262.3 132176.7   132052
read      268.1   302.4    68.9   116.9   129.7   213.6   260.9   287.5   307.4   332.1   367.7   451.0  1546.1  3632.1  7987.9 143373.3   143350
read      238.7   255.9    68.9   114.5   126.2   198.4   243.3   270.3   290.1   313.5   343.7   398.3  1277.4  3153.7  8931.9 143555.9   143518
read      241.4   239.0    68.9   125.9   140.2   217.1   256.5   280.1   297.4   318.7   346.7   395.3   534.9  2550.5 11492.9 172679.2   172981
read      337.8   616.9    68.9   112.5   124.4   229.6   292.9   333.7   367.1   410.4   476.3   687.8  2630.2  8636.4 15555.6  93950.2    94027
read      298.7   324.9    63.8   137.6   155.1   253.7   297.2   322.2   341.7   366.1   400.2   471.1  1509.3  4332.6  9594.5 170081.6   170019
read      261.3   205.2    63.8   135.1   151.2   236.0   277.5   301.3   318.8   340.9   370.1   420.5   601.1  2818.2  8406.4 179061.2   179090
read      272.1   284.4    63.8   109.8   120.1   242.7   297.6   326.7   347.1   371.1   400.1   446.6   898.8  4296.3  8380.1  47118.3    47130
read      289.4   362.6    68.9   123.0   140.7   249.5   286.0   306.3   320.4   339.1   364.4   410.9  1587.4  5637.2  8124.9  19349.3    19439
read      318.1   428.5    68.9   116.4   129.5   224.9   274.6   303.4   325.3   355.6   408.4  1227.4  1729.8  4329.6 12959.1 129029.3   128963
read      263.2   187.1    63.8   118.4   133.6   249.6   289.5   310.6   325.4   343.2   367.3   404.2   600.4  2564.9  7341.5  23837.1    23787
read      308.3   518.6    54.7   109.5   119.5   240.0   302.4   338.7   365.0   394.9   432.1   499.4  2187.5  7787.2 16007.5  62013.5    61848
read      245.1   302.3    54.7   109.6   118.8   197.3   255.9   288.6   311.1   336.8   370.5   433.9   969.3  3770.4 11987.8 101980.7   101968
read      234.4   184.1    68.9   110.5   120.2   195.7   252.1   286.5   310.7   338.5   374.3   437.2   672.0  2463.4  6981.9 108697.2   108767
read      230.8   191.2    59.1   109.5   118.7   196.2   254.8   287.4   309.3   333.5   363.8   413.0   590.2  2362.1  7709.8  97082.1    97139
read      247.2   225.3    68.9   120.5   133.9   211.4   254.8   281.0   300.4   323.5   355.8   411.1  1160.7  3032.4  7797.8 158488.4   158594
read      234.5   234.5    68.9   114.3   125.6   196.7   240.9   268.8   289.1   313.1   342.9   391.6   888.8  3343.3  7744.5 141242.9   141240
read      290.8   421.3    63.8   110.8   121.9   245.1   297.8   325.1   343.6   366.2   395.0   444.6  1632.6  7284.7 10524.6  41350.7    41405
read      319.0   547.4    59.1   109.4   119.4   240.0   300.3   334.9   359.7   388.7   425.6   499.2  2536.5  8014.3 12466.5  58045.1    57997
read      290.7   355.2    68.9   116.5   129.3   220.1   272.6   302.6   324.6   353.5   396.6   542.9  1661.4  3917.6  9221.1 133568.6   133577
read      232.0   125.7    63.8   111.0   120.3   225.6   272.9   294.4   309.3   325.8   346.5   382.1   468.0  1223.9  4583.4  53769.4    53832
read      232.0   210.8    68.9   113.8   124.9   195.9   241.0   270.0   291.0   315.3   345.5   394.8   773.5  3078.3  7250.5 139692.7   139832
read      245.5   207.9    68.9   128.1   142.4   220.4   261.7   286.6   305.1   327.4   357.6   405.6   545.5  2602.2  8138.0 170343.7   170515
read      233.2   209.2    68.9   113.0   123.7   195.6   243.4   273.5   295.1   319.9   351.1   400.1   789.1  3002.3  7251.7 128741.4   128494
read      265.5   193.5    68.9   122.0   138.8   249.1   285.8   305.4   319.2   336.8   359.8   399.2   854.9  2550.8  7244.8  20788.2    20789
read      292.3   398.7    63.8   109.6   119.5   243.8   308.7   345.4   372.7   402.7   439.7   500.5  1390.7  6319.3 12262.2  63703.6    63647
read      293.4   414.0    68.9   109.5   119.4   240.9   304.9   341.5   368.3   398.2   435.1   496.6  1388.3  6465.6 11741.3  64621.3    64802
read      279.1   350.4    63.8   109.2   119.0   240.4   299.0   331.0   353.2   378.6   409.0   458.3  1048.9  6018.5  9236.1  55765.4    55719
read      264.0   268.9    68.9   134.6   150.8   235.3   277.2   301.3   318.7   340.6   369.5   418.1   585.5  3609.2 10343.9 174115.0   174179
read      223.3   155.4    68.9   110.0   119.2   190.8   246.6   279.4   301.6   325.5   355.6   401.6   562.0  1472.0  6067.7 106413.3   106356
read      259.4   182.3    68.9   137.9   154.1   238.6   278.6   301.9   319.0   340.7   369.2   417.6   549.6  2491.6  7210.7 178914.5   178750
read      224.5   148.4    63.8   110.0   119.1   191.3   247.6   280.3   302.2   326.2   356.6   403.3   573.9  1794.9  5193.9 105725.0   105831
read      229.2   140.8    68.9   111.0   120.7   194.4   249.6   283.1   306.4   333.1   368.1   430.3   634.5  1558.6  3470.1 110745.4   110667
read      234.6   151.0    63.8   124.6   144.3   222.9   248.0   262.5   272.9   287.2   305.8   339.0   503.6  2180.7  7295.3   8863.4     8803
read      280.3   349.9    68.9   111.0   122.0   246.6   301.8   330.9   351.1   373.7   401.9   448.7   929.2  6151.6 10089.0  45533.6    45662
read      279.8   306.7    59.1   115.4   128.9   251.8   298.6   322.6   340.2   360.7   386.8   430.0  1004.5  4797.1  8730.5  30927.3    30867
read      277.7   377.0    68.9   110.1   120.6   243.2   297.8   326.3   346.1   368.7   396.3   439.8   863.7  6939.9 11188.6  45620.1    45656
read      296.2   411.3    63.8   113.4   125.2   221.5   285.2   326.2   359.8   401.6   460.4   579.6  1575.1  6048.0 13612.1 100982.4   100938
read      239.1   233.4    63.8   112.7   123.4   195.3   241.4   269.6   289.8   313.3   343.4   398.0  1377.3  2753.1  7345.9 132415.8   132360
read      281.7   399.8    68.9   107.9   117.5   232.2   293.8   329.1   354.4   383.1   418.7   475.4  1358.7  6672.6 12521.1  67741.1    67591
read      276.4   372.4    63.8   113.2   125.8   245.7   292.5   316.9   334.4   354.5   379.9   421.5   804.6  6790.1 11414.0  33844.3    33910
read      292.3   407.8    63.8   110.4   121.1   229.7   298.6   341.2   371.1   403.8   446.1   522.1  1448.4  6394.5 12662.8  85688.9    85729
read      241.0   194.8    63.8   120.4   140.4   227.0   255.1   271.2   283.2   296.8   316.9   352.7   545.9  2769.4  7646.1  12814.6    12884
read      270.3   313.0    63.8   110.3   120.9   239.6   293.0   320.6   340.4   362.7   389.8   431.4   842.2  5557.4  8080.5  45582.7    45621
read      262.4   231.0    63.8   111.8   123.4   240.6   289.8   314.5   332.1   352.3   377.4   419.4   751.6  3380.2  7620.7  36955.0    36938
read      272.0   330.4    63.8   108.2   117.9   236.9   294.5   326.3   348.9   373.3   402.4   450.2   916.7  6095.4  9369.0  57021.9    56902
read      276.0   313.5    63.8   112.6   123.8   215.6   279.5   319.3   351.1   390.4   442.7   538.1  1335.0  3864.9 10639.9 102359.8   102243
read      244.0   149.8    63.8   122.9   141.8   232.9   263.4   280.0   292.5   307.7   327.1   362.3   520.1  2270.7  5106.6  14059.0    14085
read      270.4   253.8    59.1   111.1   121.9   224.2   295.9   341.5   372.3   404.9   444.7   505.8   814.5  3215.3  8954.9  93870.7    94103
read      267.9   301.8    63.8   108.4   118.0   237.2   294.6   326.6   348.9   373.5   402.8   449.2   815.1  5072.6  9319.2  58138.7    58175
read      291.3   336.8    68.9   123.3   138.1   228.9   274.1   300.6   320.4   346.2   386.3   498.8  1628.8  3743.6  8108.8 151168.2   151312
read      273.9   278.8    68.9   110.5   120.9   227.1   294.5   334.9   363.9   396.4   435.6   500.6  1020.8  4072.1  7833.2  83574.2    83333
read      325.4   350.7    68.9   140.2   159.4   260.3   303.9   330.8   351.9   380.4   426.6   585.3  1673.5  3756.4  8101.0 165213.4   165153
read      221.8   167.7    63.8   111.5   121.5   190.1   236.9   266.9   287.7   310.9   339.5   384.0   583.9  2396.9  5989.9 124010.8   123975
read      258.1   204.3    68.9   115.5   129.1   241.8   282.7   303.6   318.0   336.2   359.9   399.1   747.9  2746.8  7362.1  28366.9    28449
read      236.1   105.7    63.8   124.0   142.1   232.0   261.5   277.1   289.1   302.7   319.9   348.9   422.5  1041.7  3896.6  14901.0    14903
read      244.3    95.5    68.9   115.0   127.7   241.4   283.9   305.1   319.3   336.9   358.2   389.6   454.4   683.0  2792.3  31233.4    31189
read      241.1   127.5    54.7   111.5   122.4   234.5   279.9   302.3   317.7   336.4   359.7   394.1   470.3  1283.2  4650.4  40613.5    40636
read      232.1   107.4    63.8   107.5   117.2   216.3   274.1   303.2   322.6   344.4   370.6   406.7   483.0   623.0  1846.7  80526.3    80574
read      490.7   576.0    68.9   157.8   177.5   251.0   297.0   380.8   648.4  1081.0  1367.6  1579.7  2783.0  4261.6  7981.0 168921.5   168820
read      500.6   621.2    68.9   158.1   177.5   251.9   298.8   374.5   604.1  1012.5  1391.1  1675.5  3152.4  4724.3  8018.8 162546.4   162621
read      455.7   547.9    68.9   152.5   170.0   248.9   316.5   429.3   570.7   770.8  1088.5  1493.2  2755.7  5858.4  8060.1 101636.1   101621
read      281.2   269.9    63.8   113.8   126.9   226.4   286.1   320.1   345.8   379.9   434.3   589.6  1291.6  2965.3  7893.4  58685.8    58592
read      485.5   582.0    68.9   156.4   175.9   248.2   293.0   368.3   618.9  1051.5  1358.2  1578.6  2826.3  4502.8  8037.8 134239.7   153042

Total QPS = 96793.1 (75498640 / 780.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 18648165068 bytes :   22.8 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,39.39%,100.00%
