Random waveform, random seed
Total number of intervals = 90 (94860, 7282, 47811, 89476, 162039, 113730, 32894, 162836, 34215, 133459, 160388, 31349, 94502, 112041, 10514, 113258, 152653, 52550, 115943, 138524, 73092, 81117, 33322, 6102, 161065, 24322, 132189, 178629, 165373, 148118, 123844, 94937, 61160, 96487, 39424, 179895, 91883, 19117, 138920, 78055, 17895, 82842, 150589, 10150, 122711, 128403, 69202, 157173, 64141, 146338, 135108, 50769, 100572, 91667, 67580, 11701, 109698, 170540, 25461, 21366, 145223, 126709, 123838, 176201, 135054, 29310, 131532, 158458, 129392, 57516, 107404, 126127, 137512, 36346, 84801, 167785, 96492, 134045, 32288, 133548, 86618, 84989, 178933, 23192, 28608, 65344, 66856, 97777, 16514, 140949)
Average QPS expected = 95340
Timestamp start: 1747120327726
Timestamp end: 1747121228025

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.1   132.9    63.8   103.8   113.8   194.8   257.3   297.5   325.0   354.3   388.5   436.3   548.6  1037.3  3929.3  94872.7    94860
read      198.2   185.6    80.4   134.9   144.7   182.2   198.2   207.8   214.9   224.3   236.3   262.0   418.6  2678.2  7865.2   7271.4     7282
read      243.0   237.8    74.4   104.1   114.8   213.3   266.7   296.1   316.2   338.7   365.5   404.8   616.7  3811.2  7635.6  47751.8    47811
read      250.8   255.3    68.9   104.1   114.3   200.0   268.8   315.0   347.5   382.6   422.9   484.4   726.0  3400.4  9478.0  89352.7    89476
read      274.7   232.5    68.9   122.9   138.9   233.7   283.0   314.2   340.0   373.6   422.5   500.7  1308.3  2589.6  7668.2 161868.5   162039
read      210.3   121.9    68.9   106.6   116.9   186.4   230.9   258.8   278.8   302.4   332.2   374.3   470.8   888.1  4355.5 113884.0   113730
read      215.9    97.5    74.4   112.1   124.2   211.8   243.7   260.5   272.0   286.1   303.6   331.9   397.3   851.2  3317.2  33054.7    32894
read      338.3   274.6    68.9   136.4   157.4   266.0   322.6   369.7   417.6   485.3   565.2   698.3  1500.1  2660.9  6377.5 162970.0   162836
read      210.8    85.9    68.9   108.5   119.8   206.3   241.0   259.2   271.4   285.6   302.7   329.6   384.6   496.9  2032.3  34150.0    34215
read      240.0   188.5    68.9   112.0   124.1   200.7   243.6   270.3   290.8   316.5   352.9   423.8  1272.2  2039.4  3445.0 133321.1   133459
