Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747207608421
Timestamp end: 1747208388656

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      209.5   202.0    54.7   106.7   123.6   200.2   218.4   228.8   235.3   245.3   256.5   275.4   491.4  2727.8  7762.3   8126.6     8195
read      299.1   407.0    68.9   127.5   143.9   242.2   287.5   313.0   332.4   357.0   392.8   465.2  2917.8  4909.7 10023.3 158607.0   158594
read      217.6   147.1    68.9   113.1   125.5   195.6   234.2   258.2   275.4   296.5   323.1   365.3   471.2  1816.6  5219.6 149571.9   149766
read      207.2   141.6    63.8   108.0   124.8   200.9   220.8   231.7   239.7   249.9   263.3   285.7   406.0  1864.8  7408.2  10376.6    10382
read      320.7   328.5    68.9   143.9   164.5   271.9   319.4   348.6   371.7   401.0   443.5   522.6  1550.4  3679.6 11312.8 170200.5   170548
read      234.2   214.7    63.8   115.0   128.0   202.2   244.1   268.9   287.3   309.3   338.0   386.0   644.8  3301.3  6890.6 150704.8   150565
read      226.1   222.4    63.8   111.2   122.6   193.2   235.1   261.4   280.1   302.2   330.2   372.3   561.2  3375.8  7522.2 137234.7   137144
read      225.4   196.3    68.9   112.9   125.0   196.6   237.3   262.8   281.1   302.9   331.3   374.5   540.7  3082.3  7551.6 143683.2   143496
read      224.0   195.2    63.8   112.7   124.7   195.9   235.9   261.2   279.3   301.0   328.9   371.9   514.5  3240.4  7522.1 144860.9   144743
read      215.2   179.2    63.8   107.0   117.2   185.6   230.0   257.6   277.2   299.7   327.3   368.0   504.3  2717.1  6885.3 116918.0   116745
read      287.8   323.7    59.1   113.1   126.1   213.7   266.2   295.5   317.1   343.9   384.9   603.9  1666.2  3296.5  7438.8 129285.5   129314
read      223.0   182.6    63.8   112.8   124.9   196.4   236.0   261.0   278.8   300.2   328.1   371.1   531.5  2703.9  6317.2 144853.2   144723
read      218.3   164.8    59.1   107.3   117.7   188.2   233.0   260.6   280.2   302.8   331.1   373.5   647.1  2071.7  5822.9 117444.6   117379
read      217.2   178.9    59.1   107.7   118.2   188.1   232.4   259.7   279.0   301.5   329.3   370.7   511.6  2722.8  7023.1 120094.2   119931
read      219.9   178.9    59.1   109.5   120.2   191.1   233.4   259.6   278.3   300.2   328.4   371.2   532.0  2698.0  5692.5 131963.2   132052
read      252.8   252.9    63.8   114.1   127.2   207.1   253.4   280.4   300.0   323.9   357.6   423.5  1477.3  3223.4  7674.0 143153.0   143350
read      229.7   201.5    63.8   112.9   125.4   199.5   241.4   266.8   285.5   307.7   336.8   384.4   604.7  3144.7  6779.2 143460.5   143518
read      261.3   191.7    68.9   128.8   145.2   236.1   282.4   309.9   330.8   356.8   391.6   447.7   581.7  2693.4  8158.0 173100.6   172981
read      211.7   115.2    63.8   105.1   114.8   187.2   237.3   266.3   285.6   307.1   333.5   372.1   489.5  1032.7  3472.8  94019.8    94027
