Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747210501805
Timestamp end: 1747211282042

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      221.1   148.3    63.8   108.0   124.6   213.0   233.2   245.5   253.9   265.9   281.3   312.7   575.0  2060.7  5049.4   8209.7     8195
read      400.4   527.0    68.9   152.6   174.6   290.3   353.5   397.6   435.9   489.5   567.0   736.1  3320.3  6032.9 10241.9 158644.4   158594
read      263.1   189.7    63.8   120.7   135.7   228.2   283.0   316.4   342.3   374.7   420.6   496.8   691.3  2057.4  6994.0 149683.3   149766
read      209.7   118.7    63.8   108.7   124.7   205.2   226.7   237.5   246.8   256.5   270.8   294.4   403.3  1771.1  3440.2  10391.1    10382
read      387.4   359.4    63.8   163.8   187.7   304.5   370.6   419.3   461.6   517.9   594.6   773.6  1658.5  3870.3  8117.8 170312.1   170548
read      275.4   202.5    63.8   122.1   138.3   241.9   300.7   336.8   364.6   398.6   443.8   515.8   691.8  2072.0  8083.4 150696.6   150565
read      246.3   177.8    63.8   115.6   129.2   214.3   262.8   291.1   312.5   338.9   374.4   440.2   708.0  2482.0  4303.3 137214.3   137144
read      238.2   155.0    63.8   115.0   128.2   209.9   257.7   285.9   306.8   332.3   366.8   426.2   612.2  1931.2  4360.3 143301.9   143496
read      234.4   160.3    63.8   114.9   128.1   208.1   253.8   280.9   300.9   325.1   358.3   412.2   571.0  2133.6  6056.0 144488.3   144743
read      219.1   158.0    63.8   108.7   119.1   191.5   237.5   265.6   285.1   307.8   336.6   381.1   522.6  2437.3  5510.9 116625.4   116745
read      221.8   150.0    63.8   110.3   121.3   194.7   240.0   267.5   287.3   310.5   340.3   389.3   550.1  1780.1  4621.1 129382.1   129314
read      240.0   179.7    63.8   116.0   129.5   211.9   259.2   287.3   308.1   333.5   367.8   426.9   594.5  2455.2  6868.5 144714.4   144723
read      223.9   160.6    63.8   110.3   121.2   196.4   244.0   272.1   292.1   315.2   344.6   393.4   550.6  1786.3  5724.8 117374.9   117379
read      217.2   135.1    63.8   108.9   119.2   191.2   237.0   264.9   284.4   306.8   335.3   379.1   509.0  1843.7  3602.1 119927.2   119931
read      220.8   149.4    63.8   111.0   122.1   195.3   239.7   266.8   286.1   308.9   338.2   385.1   513.1  1951.4  4472.4 131932.5   132052
read      236.1   156.5    63.8   115.4   128.6   209.4   255.7   283.2   303.4   328.0   361.4   417.0   583.6  2249.7  4465.0 143422.7   143350
read      232.5   153.9    68.9   114.4   127.3   206.8   253.1   280.4   300.2   324.1   356.7   408.9   553.5  1937.0  5597.7 143525.5   143518
read      302.6   196.9    63.8   129.6   146.7   261.5   330.0   375.8   414.2   461.4   518.7   594.5   742.1  1902.6  7364.4 172930.0   172981
read      219.0   164.9    63.8   108.2   118.3   193.4   242.3   269.8   288.6   309.8   336.5   377.1   504.9  2025.1  6875.3  93973.3    94027
read      303.5   216.3    68.9   125.9   142.5   257.9   332.3   383.8   424.6   471.5   527.4   604.3   756.1  1813.7  7513.0 169873.5   170019
read      301.6   213.6    63.8   132.3   150.2   254.8   318.4   364.4   403.0   455.0   520.0   610.4   788.2  1881.8  7429.6 179102.6   179090
read      249.9   263.1    63.8   108.9   119.7   224.7   270.7   296.4   316.3   340.5   371.1   417.9   587.7  4707.4  7960.5  47043.8    47130
read      233.0   158.3    63.8   112.1   126.1   225.9   254.4   269.7   280.4   292.8   309.8   337.4   469.8  2296.9  7156.4  19443.4    19439
read      309.9   384.3    59.1   116.8   131.2   229.4   283.0   314.4   339.0   371.2   424.9   632.6  1918.1  3733.4  7980.6 128874.0   128963
read      243.2   181.7    63.8   112.5   126.1   233.0   266.4   283.9   295.8   311.3   331.0   365.3   573.6  2658.8  7566.5  23845.0    23787
read      286.6   342.3    63.8   109.9   121.4   247.3   307.9   343.4   369.4   398.4   433.8   493.7   964.3  5944.3  9142.5  61953.6    61848
read      313.4   360.6    63.8   111.5   123.8   221.2   278.1   311.0   337.3   374.5   470.9  1057.5  1671.5  3389.0  8005.7 101913.8   101968
read      214.6   126.7    59.1   107.4   117.3   188.3   235.9   264.8   284.6   306.8   334.1   374.8   508.4  1478.6  3135.7 108730.6   108767
read      214.4   137.4    63.8   106.8   116.5   189.4   239.8   268.7   288.1   309.8   336.5   376.1   483.8   993.3  5839.7  97157.7    97139
read      275.9   168.9    63.8   123.3   139.4   242.0   302.3   339.5   368.0   402.8   450.2   523.4   690.7  1843.1  4379.5 158710.9   158594
read      252.0   217.4    63.8   117.9   131.6   218.1   267.6   296.4   318.3   345.3   382.9   448.2   682.4  3336.1  7801.1 141430.1   141240
read      265.0   276.9    63.8   110.6   122.6   242.1   289.6   315.4   334.4   356.2   383.0   424.5   597.5  5047.7  7736.7  41377.4    41405
read      279.5   322.0    63.8   109.2   120.7   245.8   303.2   336.9   361.2   388.7   422.4   473.3   776.6  5317.0  9189.8  58050.8    57997
read      306.4   385.6    68.9   118.7   133.6   233.0   285.3   316.2   340.8   372.7   424.1   571.9  1888.3  4328.8  7907.2 133570.3   133577
read      269.7   281.0    63.8   109.1   120.3   242.0   295.2   325.9   348.6   375.4   408.3   462.2   705.0  4162.1  9103.6  53732.2    53832
read      268.4   317.5    63.8   116.5   130.5   219.1   266.2   294.0   315.7   343.1   382.6   457.1  1506.6  3529.1  8027.6 139856.2   139832
read      302.2   224.3    63.8   127.6   144.7   260.2   330.2   377.2   415.5   460.6   514.5   589.2   736.8  2143.0 10379.5 170366.6   170515
read      230.0   186.7    68.9   112.0   124.1   202.6   248.4   275.0   294.7   317.8   348.2   400.0   558.9  2352.8  7720.1 128447.9   128494
read      234.8   147.3    54.7   112.7   126.7   227.1   257.4   273.2   284.9   297.2   315.7   345.7   529.2  2002.5  4896.6  20729.7    20789
