Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747238419778
Timestamp end:   1747239200019

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      231.3   184.5    63.8   128.0   146.1   219.3   242.0   254.7   264.7   274.8   291.5   319.0   459.0  2999.0  7599.7   8158.4     8195
read      295.3   455.0    68.9   122.9   138.2   219.7   259.5   283.6   302.0   325.3   359.7   431.1  3098.0  5298.4  8094.2 158448.9   158594
read      267.8   310.0    68.9   117.5   130.9   212.1   255.6   282.1   302.0   327.1   363.3   445.5  1510.3  3508.4  8130.6 149892.6   149766
read      228.0   100.6    68.9   127.8   147.0   221.5   246.2   260.1   270.1   282.6   298.2   326.9   427.8  1366.2  3444.1  10444.6    10382
read      284.6   285.1    63.8   129.5   145.7   234.6   277.3   301.5   319.0   341.6   373.3   453.8  1496.2  3331.8  7929.1 170485.8   170548
read      297.2   385.9    68.9   119.3   133.7   222.3   267.1   293.0   313.0   338.1   375.1   524.4  1841.0  4113.1  7941.0 150415.7   150565
read      325.3   452.5    63.8   117.8   131.9   219.6   265.5   294.0   317.4   350.4   422.4  1196.5  2363.4  4605.8  9184.2 137115.4   137144
read      314.3   412.4    59.1   120.4   135.3   223.4   267.7   294.8   316.4   344.9   395.9  1021.3  2063.5  4343.4  7892.1 143667.5   143496
read      311.4   408.5    68.9   119.2   133.5   221.6   267.4   294.6   316.0   343.8   392.5  1005.4  1998.1  3968.4  8067.1 144382.4   144743
read      270.3   316.7    68.9   111.3   122.4   207.2   265.8   304.2   335.5   375.9   434.8   545.3  1271.5  3863.1  9353.5 116742.8   116745
read      322.5   416.4    68.9   115.8   129.2   217.4   268.2   301.1   329.6   372.2   503.0  1047.3  2101.5  4061.8  8009.4 129116.7   129314
read      294.0   398.8    63.8   120.6   135.1   222.7   270.2   297.7   318.6   344.5   382.1   469.6  2351.7  4297.5  8136.2 144609.0   144723
read      322.1   404.3    68.9   118.6   131.8   224.8   282.2   319.2   350.9   398.3   507.3   866.8  2224.1  4426.6  8036.5 117683.4   117379
read      355.8   406.7    74.4   124.1   139.1   238.1   298.1   341.5   383.5   467.7   715.4  1159.2  1813.6  3995.6  8105.4 119796.3   119931
read      298.2   377.4    68.9   123.0   137.1   225.4   274.1   303.7   325.8   353.8   395.7   513.3  1987.5  4253.2  7976.4 131960.0   132052
read      237.3   180.9    63.8   122.1   135.3   211.7   255.3   281.7   300.9   323.6   353.0   398.2   531.1  2295.1  7694.1 143406.0   143350
read      239.0   194.5    68.9   121.2   134.5   212.8   257.4   284.2   303.7   326.6   356.6   402.2   538.7  2638.0  8067.1 143737.8   143518
read      291.9   207.8    68.9   143.8   162.8   266.5   317.9   348.7   372.1   400.3   436.8   496.6   632.0  2417.3  8840.5 172928.7   172981
read      280.7   332.8    68.9   114.8   126.9   224.0   289.8   330.7   361.5   397.4   443.6   521.1  1156.4  5015.7 10266.4  94032.9    94027
read      262.6   243.5    68.9   125.7   141.0   227.8   272.6   299.4   319.5   344.8   380.9   446.1   736.7  3411.3  7915.3 169976.3   170019
read      253.2   188.3    74.4   132.7   149.0   231.5   271.8   295.3   313.3   335.3   364.8   413.5   549.1  2233.8  8010.3 178970.7   179090
read      263.0   304.1    54.7   108.5   118.2   233.0   284.8   313.2   332.9   355.0   381.5   423.1   760.1  5246.6  8100.6  47137.4    47130
read      250.4   154.5    68.9   122.8   140.4   239.6   272.2   290.2   303.1   318.3   339.4   372.2   557.5  2223.6  7198.1  19451.5    19439
read      386.9   494.5    74.4   126.4   143.1   240.9   295.8   335.5   373.4   459.7   870.2  1368.4  2436.0  5395.0  8253.6 128916.7   128963
read      256.2   194.3    63.8   118.7   134.3   241.4   278.1   297.1   311.8   328.3   349.0   385.6   629.4  2834.5  7440.7  23711.1    23787
read      268.9   319.3    68.9   107.2   116.6   230.7   291.0   326.1   350.2   376.8   409.5   461.6   913.1  5115.2 10210.0  61736.1    61848
read      283.1   333.5    63.8   111.5   122.8   217.7   290.9   343.2   380.3   419.8   467.8   553.5  1210.7  4661.6 11204.9 101960.5   101968
read      279.7   330.6    63.8   112.6   124.0   212.2   275.2   318.5   353.5   398.0   460.0   574.5  1303.3  4362.1 10393.8 108497.2   108767
read      279.4   340.6    63.8   111.2   122.0   217.2   286.2   330.6   363.7   400.8   448.1   528.2  1238.9  4533.2 11055.3  97137.9    97139
read      284.3   340.2    74.4   126.5   141.8   231.6   277.5   305.1   325.5   351.6   389.2   461.5  1559.0  4232.3  8047.3 158531.2   158594
read      289.1   383.9    68.9   118.3   131.7   218.1   266.6   295.3   317.2   344.1   383.5   478.3  1931.5  4351.9  8006.6 141478.3   141240
read      264.4   283.9    63.8   110.2   120.7   237.1   287.5   314.6   333.1   353.6   378.9   420.0   770.5  4714.0  7896.8  41409.9    41405
read      268.4   332.4    63.8   106.8   116.3   231.1   290.4   324.3   347.5   372.6   402.4   450.5   926.8  5718.6  9460.0  58098.2    57997
read      389.8   570.0    74.4   127.0   144.5   244.8   296.8   330.2   358.5   401.2   541.7  1392.9  3325.2  6406.4 10180.7 133617.4   133577
read      273.1   346.7    63.8   108.0   117.7   233.5   291.3   324.2   346.5   371.6   401.8   452.8   996.3  6514.9  9658.6  53826.0    53832
read      317.7   447.7    68.9   123.2   138.4   230.6   279.0   308.0   329.9   358.7   402.3   631.1  2503.9  5546.7 10665.7 139799.3   139832
read      286.2   260.2    68.9   134.9   152.4   252.7   302.8   331.9   353.6   380.3   416.3   474.8   691.7  3509.2  8011.4 170420.0   170515
read      321.8   430.4    68.9   118.0   131.3   219.2   268.7   299.1   323.6   359.1   433.2  1051.2  2365.8  4068.0  8045.1 128343.1   128494
read      241.3   117.6    59.1   119.8   136.0   235.4   268.4   285.9   297.7   313.2   332.6   363.4   449.4  1581.8  3172.7  20731.4    20789
read      260.6   267.3    63.8   106.0   115.3   227.1   287.1   321.8   345.9   372.3   403.3   452.5   784.7  3689.0  8485.0  63596.0    63647
read      271.3   329.0    63.8   107.8   117.4   230.8   293.2   329.7   355.0   382.8   416.7   469.3   909.9  4652.5 10776.6  64762.6    64802
read      265.4   314.2    63.8   107.5   117.2   230.7   287.9   320.1   342.0   366.4   395.6   439.4   810.4  5768.3  9190.8  55887.0    55719
read      299.5   297.2    63.8   137.8   155.6   252.9   297.5   324.2   344.6   370.9   407.7   483.8  1473.4  3738.8  7840.8 174559.7   174179
read      277.2   351.9    63.8   112.1   123.2   211.7   273.9   314.6   345.8   385.4   436.2   530.2  1348.5  4673.9 10192.2 106444.3   106356
read      301.1   256.7    68.9   142.6   162.2   263.3   309.3   338.0   361.2   390.8   431.6   503.8  1326.3  3383.4  7935.7 179048.0   178750
read      268.6   318.6    68.9   111.6   122.3   206.1   265.5   302.5   332.6   372.9   437.4   560.0  1177.7  4288.6 10284.7 105840.5   105831
read      275.7   296.4    68.9   112.3   123.6   208.5   268.0   307.5   340.5   388.0   464.7   610.5  1309.6  3346.1 10871.0 110685.2   110667
read      217.6   128.2    63.8   121.2   140.1   211.2   233.2   246.1   254.8   266.9   282.1   309.6   396.9  1408.7  7149.2   8773.7     8803
read      256.6   266.7    68.9   108.2   118.1   228.9   280.4   308.3   327.2   347.8   373.3   413.0   720.0  4361.3  7630.3  45508.9    45662
read      249.9   130.2    63.8   113.2   126.2   241.1   286.3   310.2   326.4   344.5   367.3   400.2   480.8  1640.3  4101.1  30914.9    30867
read      271.8   308.8    59.1   107.5   117.3   235.3   291.7   322.7   344.0   367.9   396.9   443.0  1082.5  4512.6  8357.0  45618.1    45656
read      277.7   364.4    68.9   110.2   120.2   207.1   269.8   309.6   341.7   385.8   451.9   574.0  1382.0  5192.0 11958.8 101014.6   100938
