Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747239687041
Timestamp end: 1747240467298

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      232.4   192.7    63.8   120.0   139.6   219.5   242.9   256.2   266.8   278.5   294.3   322.5   553.5  2655.1  7828.3   8217.3     8195
read      269.6   372.8    68.9   119.9   133.3   216.2   257.9   282.7   301.4   325.0   359.3   424.8  2052.8  4567.0  9486.0 158436.4   158594
read      217.4   171.0    68.9   113.2   124.1   190.8   232.8   260.0   279.8   302.8   331.6   375.3   497.9  1840.8  8812.8 149428.4   149766
read      223.2   148.7    68.9   120.4   138.4   213.7   236.2   250.3   260.7   272.7   290.2   318.2   436.3  1967.6  7380.7  10393.5    10382
read      323.4   344.9    68.9   139.8   158.8   258.0   305.0   335.7   361.3   396.0   452.9   602.8  1592.5  4124.6  7956.6 170624.0   170548
read      248.1   185.7    68.9   120.4   133.9   215.6   264.4   294.4   317.2   345.3   384.8   452.9   674.1  2180.0  7787.5 150989.2   150565
read      316.5   451.6    68.9   118.9   132.4   226.8   270.5   296.2   317.2   345.0   393.0   721.6  2852.0  5121.4  8045.9 137124.2   137144
read      243.9   266.4    63.8   115.0   126.8   201.9   247.6   273.6   292.7   315.3   344.9   397.9  1289.0  3435.6  7735.0 143506.2   143496
read      267.8   361.3    68.9   116.3   128.7   209.6   252.8   277.4   296.0   319.0   351.8   417.7  2038.5  4137.5  7992.2 144820.0   144743
read      269.4   265.1    68.9   112.8   123.9   206.2   262.8   300.1   331.9   376.5   449.2   587.1  1220.4  3373.6  7178.6 116672.3   116745
read      362.2   584.4    63.8   120.1   134.9   234.3   274.8   299.4   319.8   349.4   408.1  1298.8  3356.2  6254.8  8814.8 129196.3   129314
read      282.5   410.1    68.9   116.5   129.3   214.4   256.7   281.2   299.7   323.3   359.2   438.1  2782.8  4883.1  8006.6 144863.4   144723
read      287.4   343.2    68.9   113.4   125.2   213.0   269.7   308.4   341.3   390.1   467.8   631.3  1502.8  4384.6  9651.6 117425.7   117379
read      290.0   340.4    68.9   113.5   125.4   211.9   267.3   303.7   334.7   380.3   471.0   702.1  1496.6  3839.8  8281.8 120112.2   119931
read      339.7   447.2    63.8   118.5   132.9   228.2   270.8   298.5   323.1   363.5   481.6  1316.5  2091.5  4354.1  9058.4 132072.5   132052
read      257.4   267.6    68.9   115.1   127.3   205.9   251.8   279.3   299.8   325.4   362.8   447.2  1455.0  3264.2  7499.9 143429.0   143350
read      219.8   155.1    68.9   112.8   123.5   191.2   234.3   262.4   282.6   306.0   335.6   381.6   537.2  2153.9  5308.7 143426.2   143518
read      252.0   182.3    63.8   127.8   142.0   223.1   268.2   295.9   317.4   344.1   381.6   445.4   632.8  2156.0  7996.9 173024.0   172981
read      270.7   317.0    59.1   109.6   119.8   217.6   284.8   326.0   356.6   390.9   432.5   500.0  1125.9  4485.2  9487.5  94001.4    94027
read      271.1   274.3    68.9   127.7   142.3   230.2   275.0   301.4   320.8   345.8   381.8   447.3  1355.4  3580.9  7672.2 169944.5   170019
read      247.1   179.0    68.9   128.4   142.7   222.5   265.5   291.3   310.9   334.8   367.3   422.1   562.4  1863.6  6975.0 179143.4   179090
read      269.4   341.4    63.8   109.8   119.9   238.7   292.4   320.5   340.6   363.2   390.8   432.9   748.7  5511.2  8784.6  47156.1    47130
read      249.5   164.1    68.9   121.0   137.0   237.9   271.4   289.1   301.5   316.5   337.4   371.4   580.5  2326.7  7471.2  19466.5    19439
read      356.8   434.2    68.9   120.4   135.4   230.9   275.7   308.9   339.9   399.3   720.0  1359.7  2052.3  3821.2  8009.5 129030.4   128963
read      256.1   190.5    68.9   118.3   133.3   242.3   279.4   298.3   312.7   329.7   352.3   392.3   650.8  2503.8  7436.2  23867.6    23787
read      268.9   334.4    63.8   107.3   116.9   233.5   293.3   327.0   350.0   375.1   405.0   453.3   771.5  6231.6 10167.4  61773.2    61848
read      264.6   301.8    68.9   110.6   120.7   210.7   273.2   310.9   339.3   374.3   422.2   501.8  1119.9  3742.5 10228.2 101882.1   101968
read      280.2   332.8    63.8   112.7   124.0   215.5   277.3   316.6   348.4   391.5   453.5   573.6  1377.7  3816.8 12060.8 108747.0   108767
read      270.5   305.5    68.9   111.6   122.3   217.2   282.2   321.0   350.8   386.0   430.3   503.5  1066.4  4112.7  8642.9  97260.8    97139
read      225.9   160.6    68.9   117.5   129.5   199.8   241.2   267.3   286.5   309.1   338.4   385.5   523.2  2312.7  6022.1 158543.2   158594
