Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747240757401
Timestamp end: 1747241537636

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      230.2   212.3    68.9   123.6   141.8   211.5   235.8   250.6   262.0   275.0   295.8   333.6   593.7  2964.1  7926.3   8177.6     8195
read      291.4   431.0    68.9   123.1   138.2   225.8   266.5   290.1   308.2   330.7   363.0   428.9  2726.4  5035.4 11277.4 158469.1   158594
read      215.3   165.2    68.9   112.0   122.7   187.8   228.1   253.9   273.2   295.7   323.9   367.8   496.9  2511.1  6405.4 149597.1   149766
read      225.3   147.4    68.9   124.9   143.8   213.6   238.3   253.0   264.1   276.1   294.4   325.1   444.9  2158.9  7328.4  10350.3    10382
read      280.4   284.3    68.9   129.7   145.9   235.3   277.2   301.9   320.0   343.8   378.5   458.1  1462.3  3436.4  7931.6 170611.7   170548
read      217.2   150.0    68.9   112.9   124.1   191.0   231.0   256.5   275.7   298.6   328.0   372.6   514.6  1841.7  4421.4 150493.3   150565
read      290.1   394.0    63.8   113.8   126.3   209.1   253.1   280.0   301.0   328.3   371.6   715.5  1735.3  4424.3  8499.8 136966.5   137144
read      215.1   147.6    68.9   111.1   121.3   186.7   227.9   254.0   273.3   295.9   324.0   367.6   531.4  2189.4  3401.9 143207.8   143496
read      222.1   215.0    68.9   110.8   121.1   187.4   229.2   255.3   274.6   297.2   325.7   370.2   717.0  3298.7  7648.3 144642.9   144743
read      257.3   273.1    68.9   109.8   120.0   198.2   253.7   291.2   320.5   360.5   418.5   527.3  1158.8  3415.8  8121.0 116737.8   116745
read      335.1   469.9    68.9   116.2   130.0   216.1   258.6   287.7   313.4   354.4   490.3  1202.5  2632.1  4276.7  8113.6 129330.8   129314
read      238.2   307.0    63.8   111.8   122.7   193.5   235.6   261.8   280.6   303.0   332.2   379.3  1215.4  4051.4  7909.6 144593.0   144723
read      258.1   239.6    68.9   110.3   120.7   200.5   258.5   297.9   330.4   372.7   432.6   534.3  1098.2  3027.0  7023.0 117424.0   117379
read      249.0   228.8    68.9   110.0   120.1   196.2   249.2   283.7   310.1   343.4   395.6   510.0  1107.6  3185.4  5411.4 119981.6   119931
read      332.3   496.4    68.9   115.8   129.7   216.5   257.4   284.0   306.4   338.9   410.1  1236.4  2845.1  4726.8  8110.3 132123.1   132052
read      247.0   353.0    68.9   111.7   122.8   195.9   236.9   261.6   279.5   300.9   329.7   376.7  2056.5  4167.1  7994.0 143377.6   143350
read      215.8   165.0    59.1   110.7   120.8   186.4   227.5   253.5   272.9   295.4   323.7   367.8   526.9  2499.1  5036.3 143789.1   143518
read      226.3   170.7    63.8   120.4   133.8   205.2   242.5   265.4   282.1   302.2   328.7   370.4   484.5  2091.2  6998.6 172929.5   172981
read      258.6   295.0    68.9   106.6   116.5   208.8   277.0   318.7   348.9   382.4   421.4   479.3   806.8  3463.8 11162.8  94123.1    94027
read      270.8   289.8    68.9   124.7   139.9   227.0   268.1   291.5   309.0   330.3   360.4   420.1  1485.9  3522.4  7937.8 170088.5   170019
read      231.8   180.9    68.9   124.9   139.2   212.5   248.7   270.1   286.3   305.6   331.0   371.2   474.2  2258.9  7745.8 178928.1   179090
read      255.7   292.7    63.8   106.9   116.7   226.9   278.3   305.4   323.5   344.8   371.3   412.7   702.2  5504.2  8080.1  47131.2    47130
read      238.2   145.1    68.9   118.6   134.9   227.5   260.4   277.2   289.7   304.3   322.8   357.9   499.9  2225.4  5372.1  19407.6    19439
read      376.8   506.7    74.4   120.5   137.0   230.1   273.9   306.9   338.9   405.4   895.6  1381.1  2466.9  6144.0  8759.5 129116.7   128963
read      246.0   220.6    63.8   114.7   129.0   228.7   264.8   283.5   296.3   312.5   333.3   368.9   630.0  3464.2  7839.3  23872.0    23787
read      264.1   332.5    63.8   105.7   115.3   224.0   283.5   316.8   340.0   365.9   397.1   447.3   936.0  6072.9  9651.0  61852.0    61848
read      275.5   327.6    54.7   109.7   120.5   214.3   284.0   332.4   366.6   402.6   446.7   519.0  1271.7  4804.4 10738.5 101874.4   101968
read      269.8   328.6    68.9   111.0   121.9   208.4   270.6   312.9   346.0   387.2   438.1   525.7  1245.3  3908.1 10961.3 109004.3   108767
read      271.8   363.6    68.9   108.7   118.5   208.3   273.6   314.7   345.6   383.2   429.8   507.1  1377.4  4902.0 12681.2  96938.4    97139
read      272.0   359.1    68.9   120.5   134.5   218.1   259.4   283.5   301.6   324.0   356.7   420.3  1634.0  4280.6  8048.9 158744.4   158594
read      328.0   501.4    68.9   117.9   132.0   222.4   264.6   290.4   311.2   339.4   388.9  1156.4  3128.3  5280.0 10589.0 141190.6   141240
read      254.0   248.7    68.9   108.9   119.2   229.4   278.5   304.1   321.5   342.5   368.5   408.6   706.4  3736.5  7782.8  41415.0    41405
read      260.7   313.4    63.8   105.8   115.2   226.6   285.0   317.0   339.5   364.5   394.1   436.8   762.6  5555.2  9610.1  57785.9    57997
read      316.8   474.8    63.8   118.1   131.6   219.9   263.9   290.8   312.3   341.0   388.9   804.4  2866.7  5210.5  9696.8 133576.4   133577
read      255.6   242.6    68.9   107.1   116.6   227.7   283.3   313.3   334.6   358.8   388.5   432.9   716.3  3802.5  7498.8  53894.2    53832
read      310.6   487.5    68.9   118.1   132.0   220.4   263.5   289.6   310.4   337.4   378.4   517.2  3107.4  5484.2 10361.8 139779.3   139832
read      229.9   172.0    68.9   122.2   135.9   208.9   247.1   270.1   287.3   307.8   334.5   376.2   490.0  1981.9  7847.9 170466.0   170515
read      319.9   440.2    68.9   116.0   129.4   219.9   267.7   296.9   320.4   354.3   417.6  1096.2  2361.9  5162.0  8101.1 128699.7   128494
read      243.6   160.9    63.8   118.9   134.6   231.0   265.2   283.4   296.0   312.0   332.6   367.4   539.0  2300.1  6294.6  20739.3    20789
read      262.5   323.5    63.8   105.6   115.0   224.8   286.2   320.2   344.3   371.3   402.8   452.1   813.4  5236.9 10578.8  63743.9    63647
read      266.6   327.9    63.8   106.4   115.8   225.8   287.7   322.1   347.0   373.9   405.5   455.8   926.6  6043.1  9667.0  64943.6    64802
read      261.9   298.4    74.4   107.1   116.7   229.3   288.2   320.3   342.8   367.7   396.9   440.2   691.6  5276.8  9263.4  55704.1    55719
read      337.0   329.6    68.9   155.9   178.8   282.1   324.4   350.3   370.9   397.8   437.8   544.5  1589.9  4132.2  8101.5 173923.9   174179
read      277.4   361.6    63.8   111.3   122.2   207.9   267.8   305.9   336.6   377.3   437.8   550.9  1471.3  4643.9 12467.8 106351.8   106356
read      251.6   178.3    68.9   130.3   146.1   231.1   272.6   296.6   314.8   336.9   366.1   413.7   536.3  2027.7  7630.8 178885.4   178750
read      263.3   311.8    68.9   109.8   119.8   202.2   262.5   300.0   330.2   369.5   426.4   527.0  1283.1  4140.2 10993.5 105750.2   105831
read      271.3   298.6    63.8   110.8   121.3   204.6   263.6   301.6   332.9   375.6   445.8   590.8  1392.3  3399.2  9925.1 110475.6   110667
read      219.8   149.4    68.9   125.6   143.9   209.7   233.2   246.8   255.9   268.1   283.5   309.6   400.9  1957.5  7314.3   8783.4     8803
read      267.4   302.4    63.8   107.7   117.8   235.6   292.1   322.3   343.3   366.7   395.1   436.6   802.7  5509.3  8092.4  45752.1    45662
read      263.1   271.3    63.8   112.7   125.5   233.6   279.7   302.9   318.7   338.6   364.4   406.6  1075.9  3949.2  7874.4  30880.1    30867
read      276.7   368.7    59.1   108.0   118.2   231.8   288.3   318.1   339.2   363.3   393.7   445.1  1310.7  5812.6  9473.9  45556.9    45656
read      276.4   330.2    59.1   110.6   121.1   208.9   273.0   315.2   349.2   394.9   458.8   571.6  1326.6  4105.8 10762.1 100824.0   100938
read      318.3   440.1    68.9   116.4   130.0   222.9   272.1   299.7   320.6   349.0   398.0  1014.6  2509.0  4474.0  7998.7 132382.3   132360
read      267.6   334.0    59.1   106.5   115.8   223.1   288.2   324.1   350.7   380.9   417.4   470.9   897.8  5394.4 10610.2  67534.1    67591
read      260.0   235.5    68.9   111.0   122.9   236.2   286.0   311.3   328.8   348.6   373.5   414.4   730.2  3446.1  7717.1  34004.4    33910
read      272.6   311.1    63.8   108.4   118.7   219.1   296.3   343.4   375.4   409.9   451.1   512.9   846.1  4412.1 10925.6  85681.5    85729
read      239.4   118.7    68.9   123.4   141.8   224.6   258.4   277.4   292.8   311.5   337.0   380.0   546.2  1367.6  3175.9  12881.6    12884
read      280.0   314.8    59.1   110.3   121.6   240.7   303.3   336.8   359.8   385.6   418.4   472.5  1041.4  5775.3  8436.1  45616.0    45621
read      256.0   154.1    63.8   111.1   122.9   240.0   292.9   319.7   338.9   360.6   387.0   427.6   576.9  2134.0  3713.1  36851.7    36938
read      286.6   380.6    68.9   107.6   117.5   234.3   298.4   334.8   360.1   388.2   422.6   479.1  1405.5  5944.4  9015.7  57014.2    56902
read      280.9   329.8    63.8   111.6   122.9   213.3   279.9   325.2   363.1   410.5   471.9   580.8  1289.0  4489.7 12644.2 102234.2   102243
