Random waveform, random seed
Total number of intervals = 100 (13302, 67910, 132730, 163297, 94613, 45526, 13626, 85520, 7165, 176436, 62962, 98023, 137454, 106359, 53082, 127298, 51045, 15173, 12177, 53416, 149630, 168484, 121131, 167835, 56369, 67728, 48363, 101971, 166714, 114770, 9835, 65950, 96756, 9915, 22208, 125311, 82489, 168248, 164527, 102668, 147975, 8250, 30318, 96439, 104281, 125350, 26966, 103909, 8209, 42147, 105035, 29419, 35977, 10333, 41445, 34515, 103368, 7926, 20017, 50004, 32621, 124757, 40751, 82490, 175871, 13905, 50031, 121136, 75179, 157517, 70246, 27456, 119014, 114583, 29106, 20726, 68943, 128727, 90452, 118393, 14863, 50530, 111049, 135143, 120980, 92705, 174292, 83616, 20726, 60891, 125635, 93081, 19728, 94140, 144182, 124855, 103057, 33016, 110561, 161182)
Average QPS expected = 81960
Timestamp start: 1747123931202
Timestamp end: 1747124931541

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      198.4    76.5    80.4   125.0   140.6   194.5   213.4   224.1   231.6   241.3   254.0   274.4   322.0   783.5  3183.8  13211.8    13302
read      262.5   333.6    68.9   103.0   112.9   216.7   278.1   314.7   340.7   369.3   403.3   457.3   973.5  5711.2  8611.9  67950.1    67910
read      288.8   341.7    68.9   112.8   125.7   212.9   257.7   283.2   302.8   328.6   371.1   960.5  1591.5  3435.9  8267.9 132633.8   132730
read      226.4   154.5    68.9   119.2   132.7   205.7   242.8   265.4   282.0   302.2   329.1   371.3   490.6  2180.2  5491.4 163139.1   163297
read      242.3   248.7    68.9   104.5   114.6   197.4   257.6   296.2   325.4   361.0   404.3   470.2   639.3  3178.4  9596.0  94683.5    94613
read      230.5   140.7    74.4   105.6   116.6   217.1   264.2   289.7   307.0   326.1   349.5   384.7   463.9  1947.0  4517.2  45615.6    45526
read      201.0    67.0    74.4   122.6   138.8   196.8   218.0   230.1   238.5   249.8   264.4   287.1   336.4   644.9  2280.1  13629.7    13626
read      247.2   132.0    68.9   106.4   117.0   208.2   281.2   327.8   360.6   395.5   435.5   495.2   601.5   762.2  1586.7  85522.9    85520
read      185.0    50.1    74.4   130.0   140.7   180.6   196.8   206.0   213.3   221.6   233.0   252.3   299.8   395.4  1993.3   7154.5     7165
read      356.3   246.4    74.4   169.9   194.8   307.5   364.9   400.3   427.5   459.6   501.3   578.7  1504.8  2704.8  5090.1 176278.8   176436
read      234.1   144.5    68.9   104.4   114.6   212.9   268.5   299.0   319.9   344.5   375.3   422.6   530.1  1311.5  5379.1  63058.2    62962
read      258.5   186.0    68.9   110.2   121.6   207.2   268.3   312.1   349.3   398.1   465.8   568.3   787.5  1683.4  6191.5  98265.2    98023
read      225.9   148.4    68.9   114.6   127.4   202.4   244.0   269.3   288.4   311.2   340.6   387.4   509.0  1980.0  5536.6 137314.5   137454
read      218.0   136.0    68.9   107.7   118.0   192.2   238.6   267.2   287.9   311.8   341.6   386.7   502.1  1609.1  4221.4 106222.1   106359
read      254.8   207.2    74.4   105.3   116.0   228.4   289.5   324.3   348.8   376.1   407.7   455.9   582.7  2729.4  7492.3  53180.9    53082
read      298.3   326.9    74.4   115.0   128.9   220.3   271.7   302.1   325.1   355.5   402.5   887.5  1627.1  3096.0  7324.6 127292.6   127298
read      241.6   123.7    74.4   105.2   115.7   224.1   278.9   310.4   332.5   358.1   389.3   433.7   539.1  1041.3  3540.7  51137.5    51045
read      212.3    94.8    80.4   119.2   136.5   205.3   231.1   245.8   256.4   269.7   286.9   313.0   383.9  1106.3  3098.0  15166.2    15173
read      205.3    93.8    80.4   123.0   140.0   198.0   220.5   232.7   242.1   253.1   268.4   292.2   358.4  1207.7  3165.9  12154.4    12177
read      251.0   184.2    74.4   104.6   115.2   226.8   287.3   322.2   346.1   373.0   403.8   450.5   559.7  2411.1  6472.1  53406.9    53416
read      370.5   361.4    68.9   141.4   162.7   282.6   342.2   379.5   409.1   450.7   520.2  1302.6  1702.1  3490.4  7700.5 149587.9   149630
