timestamp,datetime,core_0,core_1,core_2,core_3
1747123932.9303675,2025-05-13 08:12:12,10.60,79.60,17.30,12.10
1747123935.932736,2025-05-13 08:12:15,4.50,0.00,1.10,100.00
1747123938.9350495,2025-05-13 08:12:18,4.50,2.00,1.00,100.00
1747123941.938649,2025-05-13 08:12:21,23.80,100.00,100.00,100.00
1747123944.9422429,2025-05-13 08:12:24,49.20,100.00,100.00,100.00
1747123947.9486847,2025-05-13 08:12:27,45.00,100.00,100.00,100.00
1747123950.9537382,2025-05-13 08:12:30,44.10,100.00,100.00,100.00
1747123953.9595869,2025-05-13 08:12:33,100.00,100.00,100.00,100.00
1747123957.0127275,2025-05-13 08:12:37,68.80,71.40,100.00,100.00
1747123960.0171778,2025-05-13 08:12:40,67.10,72.70,100.00,100.00
1747123963.0212047,2025-05-13 08:12:43,83.30,89.80,100.00,100.00
1747123966.0252914,2025-05-13 08:12:46,84.70,92.30,100.00,100.00
1747123969.0309017,2025-05-13 08:12:49,87.50,93.30,100.00,100.00
1747123972.033903,2025-05-13 08:12:52,62.80,67.90,100.00,100.00
1747123975.037652,2025-05-13 08:12:55,37.30,39.70,100.00,100.00
1747123978.106299,2025-05-13 08:12:58,78.90,100.00,100.00,100.00
1747123981.1097424,2025-05-13 08:13:01,82.10,100.00,100.00,100.00
1747123984.1128488,2025-05-13 08:13:04,8.60,100.00,100.00,74.50
1747123987.1153798,2025-05-13 08:13:07,4.90,91.90,9.80,6.50
1747123990.1179957,2025-05-13 08:13:10,10.90,75.00,9.60,5.40
1747123993.3927174,2025-05-13 08:13:13,3.40,16.00,19.40,70.40
1747123996.3950467,2025-05-13 08:13:16,1.20,3.00,1.00,100.00
1747123999.3980203,2025-05-13 08:13:19,3.60,1.00,100.00,1.00
1747124002.4005368,2025-05-13 08:13:22,69.90,2.30,100.00,2.20
1747124005.4034097,2025-05-13 08:13:25,80.30,4.50,100.00,2.20
1747124008.4059649,2025-05-13 08:13:28,80.80,3.40,100.00,1.10
1747124011.4089205,2025-05-13 08:13:31,58.70,100.00,4.60,1.10
1747124014.4113424,2025-05-13 08:13:34,3.20,2.00,1.00,100.00
1747124017.4136622,2025-05-13 08:13:37,4.30,3.10,2.00,100.00
1747124020.4159608,2025-05-13 08:13:40,4.40,1.00,0.00,100.00
1747124023.4194434,2025-05-13 08:13:43,100.00,75.80,12.40,35.60
1747124026.4816568,2025-05-13 08:13:46,100.00,100.00,24.70,100.00
