Random waveform, random seed
Total number of intervals = 100 (14194, 10017, 149089, 7952, 108904, 136629, 66198, 69259, 52060, 110054, 29742, 35839, 130090, 73945, 64630, 133004, 45635, 101900, 24543, 158116, 167925, 167307, 111783, 38940, 106957, 124585, 123879, 153487, 68566, 139961, 64696, 17370, 179841, 55087, 57051, 158740, 146136, 76394, 97180, 140194, 134959, 179491, 122049, 30430, 55531, 170748, 19334, 123250, 78873, 109215, 105457, 122777, 20517, 47525, 15736, 23812, 123206, 52438, 157855, 145068, 154380, 18180, 149078, 167093, 7401, 112954, 127838, 14808, 178699, 118885, 52233, 30600, 119029, 18729, 101740, 131819, 75205, 66967, 42018, 36739, 29945, 119806, 135084, 8235, 124789, 49501, 139951, 77676, 123390, 164581, 146789, 16254, 159456, 112899, 79798, 88845, 64799, 176653, 25635, 143648)
Average QPS expected = 92682
Timestamp start: 1747125849595
Timestamp end: 1747126849919

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      213.0   104.1    74.4   125.4   143.9   208.9   231.1   243.4   251.8   262.7   275.0   296.4   349.3  1152.9  4303.9  14147.2    14194
read      217.3   232.2    80.4   127.1   141.7   193.5   214.6   227.0   235.4   247.7   263.5   291.2   904.6  3198.7  7963.7   9983.8    10017
read      284.1   400.9    68.9   122.0   137.5   227.9   274.6   300.9   319.8   343.1   373.8   428.9  2665.6  5338.6  9085.4 149188.7   149089
read      193.3   119.5    80.4   128.6   140.8   183.7   201.2   212.1   219.3   229.1   241.1   262.6   323.4  2046.3  4088.0   7949.7     7952
read      268.0   267.3    68.9   110.8   122.6   208.8   265.0   302.1   333.5   377.1   447.2   578.7  1250.0  3316.4  8140.8 108821.8   108904
read      247.2   214.4    63.8   114.7   128.0   207.5   251.5   277.5   296.7   320.0   352.6   412.2  1402.2  2486.6  4932.8 136560.8   136629
read      250.8   130.2    68.9   106.5   117.3   225.2   290.2   328.3   356.7   388.7   426.6   478.0   582.5   785.8  2891.9  66280.7    66198
read      241.0   120.8    63.8   106.4   117.1   221.9   281.0   312.9   335.2   360.5   391.8   436.9   539.3   737.1  3008.2  69258.0    69259
read      233.4   103.0    68.9   107.1   118.4   225.3   274.3   299.0   316.0   335.7   360.0   395.2   463.6   602.8  2612.5  51950.6    52060
read      301.8  6979.4    68.9   110.8   122.2   205.5   261.2   297.2   326.0   363.2   413.2   495.6   698.7  1135.2 18233.5 110171.6   110054
read      234.7   106.8    68.9   111.5   125.0   229.5   267.6   287.8   302.2   318.8   341.1   373.6   450.6   998.3  3122.3  29639.4    29742
read      251.3   166.9    74.4   109.6   121.9   235.1   284.4   311.4   330.3   351.7   377.5   418.9   532.0  2563.3  4752.5  35920.1    35839
read      293.2   317.0    74.4   118.6   133.3   226.7   278.0   309.5   333.2   363.4   405.7   511.7  1649.3  3405.2  7625.2 130058.8   130090
read      260.2   171.2    68.9   107.0   117.9   222.4   294.8   339.2   371.0   406.7   449.8   509.8   651.9  1967.3  5094.3  73920.5    73945
read      267.4   238.0    63.8   106.6   117.5   231.5   301.1   342.5   371.6   404.3   444.1   500.6   646.4  3234.3  8367.2  64644.9    64630
read      301.4   310.8    68.9   120.9   136.4   233.2   286.2   317.9   342.8   373.9   420.2   543.2  1633.9  3312.1  7475.7 132964.0   133004
read      252.3   164.7    74.4   107.2   118.4   234.5   287.6   317.2   339.0   363.7   393.5   435.7   548.7  2308.5  4830.5  45643.3    45635
read      285.6   228.6    68.9   113.9   127.4   220.4   280.0   322.5   361.5   418.9   522.1   695.6  1140.0  2278.0  4957.2 101925.5   101900
read      235.6   130.0    74.4   112.9   127.6   225.6   262.4   281.9   295.6   313.1   335.3   369.0   467.4  1861.8  3213.3  24442.1    24543
read      346.7   254.6    74.4   162.1   185.8   304.2   362.5   396.4   421.7   451.9   491.6   558.1  1526.6  3310.3  7558.3 158059.7   158116
read      311.6   142.5    74.4   149.9   172.3   290.3   349.5   385.2   410.3   439.5   475.6   529.9   635.4  1197.2  3720.9 167688.5   167925
read      256.2   119.8    68.9   131.6   148.4   236.5   279.9   305.7   324.7   348.8   383.2   440.5   579.9   993.8  3480.6 167270.5   167307
read      298.1   332.5    68.9   113.9   127.2   217.5   269.2   302.3   330.6   373.0   485.1   840.8  1550.3  2875.0 10824.1 111683.1   111783
