Random waveform, random seed
Total number of intervals = 100 (154007, 59833, 10035, 107913, 101595, 136006, 102975, 58322, 169748, 10269, 14318, 168254, 98535, 164906, 172267, 162481, 32061, 166363, 169924, 160446, 124887, 117380, 130249, 110029, 138956, 145521, 56708, 167450, 62757, 159475, 71600, 26716, 115164, 157409, 177693, 177519, 60902, 137663, 118047, 139567, 88673, 149450, 119900, 134132, 98015, 166685, 159152, 82824, 23662, 59822, 7270, 11206, 9546, 115369, 116052, 31947, 167153, 148640, 147478, 52690, 10745, 149196, 57778, 130391, 50868, 18048, 26270, 131923, 75160, 14531, 70818, 179352, 59078, 108153, 110425, 142967, 9013, 80730, 178611, 39031, 51946, 121014, 125374, 87538, 141411, 106743, 43669, 134353, 136915, 143019, 177470, 104950, 178738, 68589, 176853, 74753, 175333, 75987, 82171, 62104)
Average QPS expected = 104176
Timestamp start: 1747128716499
Timestamp end: 1747129716846

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      294.9   343.8    74.4   134.0   151.8   248.7   294.2   320.2   340.7   365.7   398.7   455.9  1727.4  4328.7  8022.9 154019.6   154007
read      266.0   245.7    74.4   108.0   118.8   234.7   300.8   338.6   365.8   396.0   431.8   483.7   623.2  3071.7  9512.7  59747.7    59833
read      201.1   120.6    80.4   123.2   138.6   190.9   212.3   224.3   232.8   244.1   258.7   284.1   366.0  1411.0  4741.4  10043.8    10035
read      348.9   410.6    68.9   122.1   138.2   241.9   322.3   401.1   460.5   531.0   633.0   870.7  1550.2  4992.3 13340.6 107868.4   107913
read      294.5   355.3    68.9   114.9   128.6   226.6   300.9   359.4   401.0   445.2   497.8   586.8  1143.0  3809.6 13384.8 101521.3   101595
read      513.2   717.5    74.4   165.0   191.2   307.4   362.5   401.3   437.7   506.2  1251.8  1646.7  3454.4  7636.5 12675.3 136084.3   136006
read      396.1   546.5    68.9   130.6   149.4   263.1   330.3   380.8   425.7   491.1   612.6  1142.8  3057.6  7188.4 12567.3 102959.8   102975
read      282.8   389.0    68.9   106.9   117.6   233.7   298.2   335.4   362.4   393.0   430.6   492.0  1143.6  6863.6 11952.6  58313.1    58322
read      472.2   552.3    74.4   174.8   199.2   333.8   400.3   440.7   473.2   523.8   640.2  1481.8  3331.4  5186.3  8111.0 169688.1   169748
read      249.7   426.5    80.4   122.1   137.5   200.5   226.5   242.3   254.4   271.8   297.7   376.7  1221.7  7832.1  9115.0  10305.8    10269
read      247.7   305.8    80.4   120.7   138.1   212.2   240.0   256.4   268.9   283.8   304.3   345.6  1264.9  4197.7  8104.2  14377.2    14318
read      427.3   429.2    80.4   185.2   211.3   349.5   413.6   449.6   475.2   507.9   556.7   712.3  2834.3  4351.7  8037.1 168032.4   168254
read      500.3   780.0    74.4   147.4   168.4   274.3   328.0   367.2   405.4   494.0  1106.8  2170.6  3439.9  7922.8 15079.9  98790.8    98535
read      453.5   583.4    74.4   177.9   204.5   336.9   392.1   424.6   450.2   483.8   538.7   896.4  3459.7  6491.4  8092.4 165081.4   164906
read      472.5   624.0    80.4   181.9   208.6   344.6   402.9   439.3   468.9   510.0   584.9   845.2  3478.8  7005.3  9933.1 172223.3   172267
read      461.8   670.8    74.4   170.4   193.2   320.9   377.9   412.5   439.9   479.4   548.0   853.9  3475.0  7640.0 11089.7 162583.6   162481
read      341.0   582.8    74.4   122.7   140.2   236.2   286.4   320.8   352.1   396.2   467.9   655.8  2888.7  7970.2 12665.4  32094.1    32061
read      476.8   619.7    74.4   177.2   203.4   339.2   399.1   435.2   465.2   506.7   585.8  1431.7  3488.8  6969.3  9317.8 166473.5   166363
read      487.4   646.9    74.4   180.5   207.2   346.6   406.8   444.1   473.7   517.7   594.1  1336.2  3593.9  6886.0  8521.0 169915.7   169924
read      461.3   600.9    74.4   182.5   208.9   343.0   405.5   443.2   471.4   509.9   573.2   734.9  3567.0  6608.5  9295.4 160498.2   160446
read      393.5   464.2    74.4   174.0   196.5   320.6   383.7   420.0   447.5   482.4   534.8   639.0  2973.7  7351.2  9321.0 124740.2   124887
read      449.3   610.0    74.4   175.8   200.4   323.7   375.1   406.2   431.9   466.7   530.0   813.5  3446.2  7110.8  8841.2 117451.1   117380
read      454.3   633.7    74.4   169.6   193.0   316.3   369.5   401.6   428.8   466.3   535.7  1368.5  3472.0  6870.5 10390.8 130229.4   130249
read      495.8   779.1    74.4   151.7   174.4   294.8   351.1   387.4   417.7   462.8   577.0  2246.3  3516.6  7806.1 12348.6 109970.5   110029
read      439.0   652.0    74.4   144.7   168.4   295.7   356.8   393.2   421.6   459.2   521.9  1308.2  3506.2  7198.8  8698.5 138904.2   138956
read      496.8   768.1    68.9   150.4   172.5   297.6   350.9   385.4   414.9   462.0   600.0  2043.8  3519.1  7738.4  9922.1 145476.2   145521
read      345.5   506.3    74.4   116.4   131.2   227.0   285.4   329.1   366.3   416.2   500.6   927.2  2801.4  7172.0  8954.4  56732.1    56708
read      546.6   719.6    74.4   161.8   187.0   302.5   356.5   400.7   459.5   857.0  1434.3  1738.7  3447.2  6827.2  8976.5 167254.6   167450
read      381.9   573.0    74.4   125.1   147.1   259.8   317.5   360.0   397.3   455.0   577.1  1021.8  2995.6  7815.8  9757.0  62816.9    62757
read      468.5   583.6    80.4   170.1   195.6   322.1   378.9   415.9   448.0   498.3   630.9  1470.9  3433.0  5398.7  8117.8 159677.7   159475
read      310.1   354.2    74.4   111.0   124.4   232.2   297.7   344.5   383.0   431.2   506.5   712.8  1615.3  4901.0  8798.1  71720.9    71600
read      229.2   106.8    74.4   110.2   123.0   221.1   259.0   278.8   292.6   308.7   328.6   361.9   471.7  1265.3  2776.1  26704.6    26716
read      525.5   709.4    74.4   148.4   169.6   277.7   331.3   376.3   454.8   944.9  1397.3  1887.9  3351.5  7559.6  9303.2 115272.3   115164
read      431.0   573.2    74.4   166.1   191.1   317.7   368.1   397.3   420.6   451.2   500.8   946.5  3447.7  6303.5  8119.1 157609.4   157409
read      440.2   635.3    68.9   174.3   200.3   329.4   380.3   410.6   434.9   468.7   526.3   677.2  3460.4  6399.1  8250.7 177747.2   177693
read      407.3   505.1    74.4   171.1   194.4   323.0   372.5   401.0   424.6   455.5   504.4   627.9  3373.3  5797.3  8128.4 177344.1   177519
read      283.9   322.9    68.9   120.8   138.1   226.0   271.8   305.0   334.1   373.8   431.2   533.2  1353.1  3860.5  8034.9  60780.7    60902
read      498.0   803.7    74.4   162.1   186.7   294.5   337.7   365.6   389.0   422.7   491.5  2905.1  3575.4  7758.8  9495.5 137841.3   137663
read      466.6   680.3    68.9   142.9   164.9   274.3   318.9   348.9   376.7   429.1  1055.9  1667.7  3413.1  7453.3  8129.1 118103.4   118047
read      429.6   575.4    68.9   142.1   164.7   287.6   341.9   375.2   402.9   444.5   544.7  1471.4  3401.0  5399.6  8114.6 139742.6   139567
read      293.8   292.1    68.9   111.9   124.8   226.8   298.1   350.0   389.5   433.8   491.1   596.2  1338.8  3712.9  7840.6  88621.8    88673
read      439.6   606.5    74.4   157.3   182.0   309.4   360.0   390.2   413.9   446.9   504.9  1388.6  3451.1  6688.2  8123.3 149553.3   149450
read      335.6   485.6    68.9   123.2   141.4   252.4   299.6   325.0   344.1   368.2   401.8   486.8  3248.1  4525.4  8079.4 119702.0   119900
read      383.5   545.2    68.9   130.3   150.7   271.3   320.9   349.1   371.1   399.7   448.6  1252.5  3344.2  5531.9  8111.2 134176.1   134132
read      300.7   314.9    68.9   114.5   128.3   225.9   297.2   354.5   400.5   453.1   516.4   630.7  1360.7  3719.2 10062.6  98011.6    98015
read      446.4   637.9    74.4   163.4   188.8   316.4   366.5   395.8   419.4   450.8   502.6  1302.1  3459.5  7072.2 12902.9 166777.6   166685
read      451.5   604.8    74.4   175.2   201.0   331.3   387.8   422.6   451.4   492.2   563.0   761.5  3512.7  7032.8  8307.4 159116.7   159152
read      378.7   460.4    74.4   125.4   144.2   255.7   321.4   380.4   448.0   557.8   717.0   975.1  2332.6  6145.1  8142.4  82839.1    82824
read      226.8   116.0    74.4   112.2   125.7   219.2   254.2   272.4   285.6   300.3   319.3   349.5   446.9  1512.7  3092.4  23670.7    23662
read      269.7   300.3    68.9   107.1   118.0   232.0   294.4   329.8   354.5   382.6   417.6   470.8   838.9  4678.2  9221.5  59853.1    59822
read      195.9   143.8    80.4   129.4   141.3   185.0   202.0   212.7   219.9   229.7   242.3   265.3   350.6  2060.4  7622.8   7281.9     7270
read      206.9   133.1    80.4   123.4   139.7   196.9   218.6   230.7   239.4   251.0   266.2   291.4   395.5  1838.5  7577.9  11239.5    11206
read      211.4   226.3    80.4   126.9   140.9   191.2   211.3   222.5   230.8   241.2   255.4   285.2   619.8  3882.0  7817.8   9528.6     9546
read      557.7   715.1    74.4   158.9   183.6   291.1   346.6   408.0   618.7  1287.7  1464.3  1687.1  3386.7  7643.9 11060.8 115271.0   115369
read      437.6   559.8    68.9   134.8   153.4   254.8   317.1   385.3   493.2   710.0  1019.4  1404.9  2898.0  7064.0 10954.9 115941.1   116052
read      247.6   222.7    74.4   110.2   122.5   224.9   268.5   291.5   307.9   326.3   349.6   391.9   662.4  3561.4  7498.5  31811.9    31947
read      443.9   569.4    80.4   176.3   203.8   332.7   386.6   419.0   444.6   479.2   538.2   780.6  3489.0  6157.5  9828.4 167014.5   167153
read      482.7   632.7    74.4   172.7   197.4   330.6   394.4   435.3   470.6   526.2   640.4  1556.2  3507.6  7137.1 12586.2 148673.6   148640
read      425.7   587.2    74.4   166.2   189.8   316.5   369.7   401.6   428.3   463.8   522.3   690.7  3403.8  7555.7  9568.3 147669.0   147478
read      324.0   454.4    68.9   113.8   128.4   237.4   295.8   332.6   361.3   397.8   456.2   674.9  2272.3  7307.0 10469.7  52658.7    52690
read      206.6   117.9    74.4   123.3   139.1   196.9   218.9   231.5   240.9   252.3   267.9   292.5   370.9  1789.9  4682.6  10756.2    10745
read      551.3   803.8    74.4   161.3   184.4   303.6   351.8   388.5   427.0   526.7  1414.5  2410.0  3487.5  7709.2 13475.4 149251.2   149196
read      353.6   615.4    68.9   114.5   131.0   241.9   291.7   324.1   350.0   383.3   432.3   617.0  3300.3  7903.4 11786.2  57854.3    57778
read      475.1   659.2    74.4   152.8   176.9   304.3   360.2   396.3   428.2   479.1   698.3  1590.0  3458.3  7557.0 10382.2 130383.5   130391
read      277.1   404.3    68.9   107.2   118.3   231.8   289.9   322.9   345.8   371.9   404.7   463.7  1084.8  7108.5 14859.3  50949.0    50868
read      249.2   241.3    74.4   117.3   134.7   222.3   255.0   273.2   287.0   303.1   324.8   366.4  1103.9  3412.1  7763.6  18062.4    18048
read      259.9   278.4    74.4   114.1   128.9   234.6   276.2   298.1   314.1   332.8   356.6   396.3   714.4  4452.5  8222.8  26275.0    26270
read      459.6   601.8    74.4   161.9   186.2   318.8   380.7   418.7   449.6   493.1   582.6  1486.8  3449.7  7148.4  9916.8 131852.5   131923
read      286.5   367.2    68.9   109.9   121.0   229.1   304.6   350.5   383.5   420.2   464.0   535.8  1102.1  5761.3 13085.9  75097.6    75160
read      210.7   126.7    80.4   119.8   135.5   202.4   227.0   240.3   250.2   262.2   276.3   301.5   386.6  1563.6  6216.2  14511.7    14531
read      269.0   302.9    68.9   106.5   116.9   224.6   294.0   334.2   362.3   393.2   430.5   488.1   778.6  5274.7  8485.7  70757.3    70818
read      327.4   219.3    74.4   162.3   186.2   299.8   343.4   368.1   386.8   408.8   439.9   500.0  1432.6  2709.3  5394.1 179432.6   179352
read      214.9    92.8    68.9   108.1   118.3   208.5   251.8   271.6   285.1   299.6   318.0   345.2   404.5   559.0  3218.9  59055.2    59078
read      206.5    88.4    68.9   106.6   116.5   185.9   232.0   259.9   278.9   299.7   324.2   360.6   433.9   608.4  1727.0 108131.4   108153
read      211.5    94.2    68.9   109.7   119.8   190.9   236.2   264.6   284.1   305.9   331.7   368.5   446.2   639.5  1926.2 110533.6   110425
read      216.9    93.2    68.9   115.1   127.8   198.9   237.8   262.6   280.6   302.1   329.3   369.5   461.8   772.0  2303.1 142889.2   142967
read      194.8    75.0    80.4   133.6   147.9   191.8   207.5   216.0   222.7   230.6   240.9   257.3   298.7   420.7  3483.7   9054.4     9013
read      209.0    87.9    68.9   104.8   114.6   193.2   244.0   268.8   284.9   302.3   322.7   354.2   418.4   544.0  1677.2  80669.7    80730
read      279.4   118.5    68.9   148.8   168.6   266.6   308.8   332.6   349.9   371.4   400.1   447.8   565.1  1081.5  2455.4 178651.4   178611
read      214.6    87.3    68.9   111.8   123.5   216.9   246.8   261.8   271.7   284.0   297.7   320.4   372.6   490.3  2103.3  38917.1    39031
read      216.0    89.4    68.9   109.1   119.6   214.7   253.2   270.8   283.0   296.1   314.0   340.3   396.4   525.5  1979.7  52030.2    51946
read      207.8    95.1    68.9   108.6   118.9   187.5   230.5   257.4   276.5   298.4   324.7   363.1   439.2   629.2  1972.8 120942.0   121014
read      208.2    89.5    68.9   109.4   119.7   188.1   230.1   256.5   275.6   297.5   324.0   362.8   441.2   714.1  1698.0 125474.2   125374
read      210.2    91.7    68.9   106.0   115.8   191.8   243.0   269.6   286.8   305.7   328.2   361.6   430.2   573.3  1995.4  87473.0    87538
read      217.2   102.3    68.9   114.9   127.6   199.1   238.5   263.3   281.3   302.7   330.2   370.6   463.0   747.6  2252.7 141584.0   141411
read      208.5    93.3    63.8   107.2   117.2   187.9   234.4   262.8   281.8   302.8   328.0   364.4   436.5   593.6  1402.5 106853.4   106743
read      214.9    84.9    68.9   110.4   121.4   216.9   249.4   265.3   275.5   288.6   304.1   327.8   379.0   486.6  2313.8  43814.9    43669
read      215.2    92.7    68.9   112.9   124.7   195.9   236.5   262.6   281.3   303.5   331.2   371.5   464.2   768.1  2222.1 134352.9   134353
read      215.6   101.1    63.8   113.9   126.3   197.2   236.7   262.3   280.5   302.3   329.5   369.3   456.5   729.4  2326.5 136720.4   136915
read      221.6    97.5    68.9   117.5   130.5   203.9   243.7   268.2   286.3   307.8   335.0   374.7   469.2   796.8  1871.0 143116.4   143019
read      281.3   109.9    74.4   149.7   170.1   269.6   311.4   335.0   352.3   373.1   401.5   449.2   558.2   973.9  3041.3 177290.0   177470
read      207.3    99.0    68.9   106.2   116.1   186.4   233.4   261.8   280.7   301.5   325.9   361.7   432.0   589.4  2691.3 104942.8   104950
read      281.3   105.7    74.4   150.7   171.3   270.7   311.8   335.0   351.8   372.2   399.7   444.5   548.4   915.9  2188.4 178746.7   178738
read      215.1    91.5    68.9   107.2   117.4   204.5   253.0   274.9   289.7   306.0   325.5   355.9   419.8   550.2  2427.0  68652.5    68589
read      267.5   105.4    68.9   143.5   162.7   254.9   294.6   317.3   334.7   355.4   383.2   429.1   541.4  1002.2  2086.6 176922.6   176853
read      213.2    91.4    68.9   106.4   116.4   200.0   250.3   273.6   288.9   306.0   326.3   357.7   422.3   536.6  2041.8  74787.1    74753
read      310.1   123.0    68.9   162.3   185.6   296.4   342.0   368.5   388.7   413.0   446.8   502.7   635.4   975.1  2739.7 175280.0   175333
read      212.7    91.4    68.9   106.1   116.1   198.5   249.1   272.9   288.5   305.7   326.2   358.1   424.4   563.9  2099.8  75971.5    75987
read      210.8    91.2    68.9   105.8   115.6   194.5   245.6   270.8   287.2   305.1   326.6   359.4   426.9   543.7  1260.1  82198.5    82171
read      213.4    88.8    68.9   105.8   116.1   207.2   252.1   272.1   285.6   300.3   318.5   345.8   404.0   521.8  2194.9  62240.0    62104

Total QPS = 104186.3 (104186320 / 1000.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)
