Random waveform, random seed
Total number of intervals = 100 (104483, 28830, 111453, 92782, 72484, 16876, 112965, 124268, 48117, 152687, 94570, 30673, 111886, 19885, 99234, 13053, 80316, 40997, 30049, 118929, 87028, 140630, 117024, 92201, 106040, 122471, 126913, 46668, 126693, 25292, 154910, 176747, 32758, 154115, 125982, 148312, 75394, 87093, 9004, 105062, 142035, 103733, 19796, 5816, 79493, 37812, 45198, 99916, 96854, 82457, 144570, 171755, 140940, 68628, 133435, 103337, 25987, 111695, 143681, 111499, 170978, 37161, 123628, 134876, 11003, 105043, 160608, 50671, 35634, 21422, 42268, 27721, 20960, 142376, 58342, 153313, 121167, 85966, 144397, 74449, 139172, 97915, 68889, 137371, 105239, 131504, 37797, 145388, 105795, 28891, 91301, 37286, 122798, 9718, 32070, 142668, 60383, 158129, 29688, 11505)
Average QPS expected = 88490
Timestamp start: 1747130325473
Timestamp end: 1747131325809

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      278.1   229.7    68.9   113.1   125.8   219.9   291.6   342.3   378.1   417.9   468.3   563.2  1069.0  2766.8  5265.3 104365.2   104483
read      235.3   171.5    74.4   111.7   124.3   220.3   257.7   277.5   291.8   308.8   330.4   365.9   579.1  2597.4  4945.9  28783.8    28830
read      443.7   548.4    74.4   127.4   145.2   249.5   335.6   445.7   555.7   733.8  1041.1  1449.9  2615.1  5979.5 10881.9 111363.7   111453
read      269.9   348.4    74.4   108.6   119.3   210.2   279.2   327.0   361.0   396.9   438.9   507.1  1069.6  4777.3 13199.0  92910.1    92782
read      266.2   362.9    68.9   105.2   115.2   214.6   279.1   318.0   345.4   375.1   410.9   467.2  1042.1  6740.5 10144.1  72459.4    72484
read      222.0   121.9    74.4   116.8   132.6   210.5   241.5   258.6   270.6   284.9   302.9   333.3   444.5  1807.7  3245.1  16899.9    16876
read      397.3   518.7    74.4   124.2   140.7   245.9   315.4   382.2   453.5   561.5   781.5  1338.5  2396.5  6850.5 10844.2 112728.7   112965
read      463.7   681.5    74.4   137.3   158.4   264.7   312.1   346.8   384.6   466.5  1236.3  1576.2  3407.5  7384.3 12970.5 124252.7   124268
read      271.1   367.6    68.9   107.8   118.8   228.5   286.7   319.0   341.7   367.3   398.7   451.9   956.5  6659.0 11316.7  48255.5    48117
read      387.9   485.8    74.4   150.0   173.0   294.7   346.9   378.5   402.3   434.0   484.6   746.5  3203.2  5421.4  8138.3 152754.0   152687
