Random waveform, random seed
Total number of intervals = 100 (143684, 162523, 26988, 136050, 139967, 166009, 166157, 26831, 116384, 20746, 55664, 126932, 10436, 19327, 6055, 73475, 44569, 35711, 82759, 153034, 157326, 5323, 24343, 123619, 165271, 7022, 48844, 125917, 115342, 9592, 10105, 60724, 119927, 65527, 157016, 54947, 156258, 87466, 158356, 178381, 22951, 175941, 134449, 9891, 136643, 133849, 73419, 152253, 146677, 71810, 57400, 78722, 29569, 104362, 98284, 138223, 88070, 165686, 158560, 95129, 143586, 85844, 13890, 144964, 154660, 179907, 113999, 179853, 89564, 65277, 168541, 13907, 91291, 46910, 6985, 128680, 177529, 52917, 157351, 79512, 169849, 129840, 68958, 78185, 99160, 175300, 36448, 53071, 116191, 94924, 29524, 54900, 51575, 179186, 69854, 90623, 21966, 78283, 170491, 73759)
Average QPS expected = 95537
Timestamp start: 1747168034948
Timestamp end: 1747169035297

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      234.0   294.4    63.8   105.4   116.6   189.8   230.5   254.9   273.4   296.0   327.3   382.2  1214.5  3590.9  7838.2 143852.9   143684
read      227.1   178.2    63.8   111.3   124.3   199.2   237.8   261.8   279.4   301.2   330.9   381.4   740.2  2555.2  5329.1 162618.7   162523
read      231.5   239.3    63.8   104.0   118.0   213.8   252.2   272.9   287.9   305.2   327.5   364.2   511.5  2433.7 11397.3  26952.2    26988
read      493.6   680.9    68.9   139.2   161.6   260.2   303.5   344.7   447.3  1194.7  1373.0  1528.4  3032.1  7513.3  9774.4 135654.2   136050
read      506.8   685.9    68.9   141.7   165.2   265.4   310.9   358.0   453.2  1122.4  1406.4  1628.3  3349.4  7444.3  9384.3 140095.9   139967
read      415.1   594.0    68.9   151.0   175.2   284.5   331.6   362.8   389.0   426.1   493.2  1321.9  3395.1  6612.7  8128.3 165771.3   166009
read      389.5   585.2    63.8   125.2   145.3   255.8   302.0   335.1   365.5   410.7   503.0  1327.0  3355.8  6883.9  8958.0 165971.4   166157
read      248.1   337.6    63.8    99.0   109.7   190.8   235.9   263.8   283.5   307.4   341.4   431.3  1748.2  4112.0  8093.2  26827.2    26831
read      323.2   388.7    63.8   108.4   121.9   217.2   287.5   347.3   402.7   473.6   579.4   895.5  1592.2  4387.9 10961.4 116499.0   116384
read      233.4   157.3    68.9   106.8   124.1   219.5   256.7   276.0   290.2   306.5   327.2   362.7   631.0  2072.6  7151.8  20755.1    20746
read      272.5   333.8    63.8    97.6   108.2   225.4   292.6   330.5   356.5   385.4   420.8   478.6  1207.6  5242.2  9479.7  55665.5    55664
read      478.4   708.4    63.8   134.0   153.6   263.0   313.7   349.1   389.4   576.8  1305.4  1592.3  3387.9  7662.6 12657.9 127164.7   126932
read      228.4   305.3    68.9   118.8   135.7   195.3   219.7   233.4   244.4   257.1   274.6   312.8  1125.6  4796.9  8376.4  10449.1    10436
read      239.9   231.4    63.8   108.7   126.5   216.2   249.3   267.6   280.8   296.6   318.8   363.2   967.1  3144.7  7788.0  19309.0    19327
read      198.5   136.1    74.4   128.2   139.8   184.7   204.7   216.6   225.9   235.8   251.8   278.7   403.4  1529.7  7522.7   6072.8     6055
read      269.6   363.8    63.8    96.9   107.1   213.4   287.0   330.3   360.0   392.5   431.2   493.9  1142.7  6407.4  9877.1  73334.5    73475
read      260.0   298.5    63.8    98.5   110.1   225.4   282.3   312.9   334.0   357.8   387.5   435.1   909.3  4692.0  8305.4  44639.8    44569
read      262.1   310.0    63.8   101.2   114.1   229.0   280.5   307.7   326.0   346.6   374.5   421.2   932.5  5259.4  8014.4  35659.2    35711
read      282.0   376.2    63.8   102.1   113.4   213.6   294.4   346.1   382.1   421.1   468.6   544.9  1243.6  6435.6 11705.6  82875.4    82759
read      444.5   578.9    63.8   147.9   170.6   293.1   353.3   393.5   427.3   477.4   630.9  1473.7  3386.1  5930.5  8745.2 153108.0   153034
read      437.2   623.2    68.9   143.7   167.9   303.5   365.0   402.7   434.5   479.9   563.3  1116.0  3465.2  7002.4 10841.7 157386.8   157326
read      246.7   458.7    74.4   116.9   130.3   181.9   204.3   218.7   231.1   248.3   276.1   409.1  1459.2  7795.0  8116.8   5338.2     5323
read      250.3   231.4    68.9   107.0   123.2   227.1   267.4   288.9   304.2   321.4   345.2   387.0   926.2  3245.1  7818.4  24365.1    24343
read      456.1   667.8    68.9   129.4   148.4   247.6   295.9   337.5   394.5   638.7  1218.7  1582.3  3246.7  7632.2 12444.7 123682.8   123619
read      457.6   670.9    63.8   142.4   164.6   278.0   326.0   360.8   392.9   447.5   769.6  1587.1  3431.5  7384.2 11775.0 165080.2   165271
read      236.6   478.0    68.9   116.0   129.8   182.9   205.5   219.1   230.3   244.8   267.3   317.2  1323.2  7935.8  9796.2   7015.0     7022
read      258.8   309.1    59.1    97.9   109.0   224.5   282.7   314.6   336.2   360.5   390.1   434.9   795.5  5443.3  8649.6  48800.7    48844
read      475.1   755.9    68.9   131.3   151.0   253.3   296.8   328.9   362.5   450.5  1234.0  1815.2  3431.1  7771.6 14168.6 125786.9   125917
read      334.4   399.3    63.8   112.8   127.6   223.1   299.9   384.7   452.7   527.4   628.3   850.9  1538.5  4764.0 12455.9 115518.8   115342
read      205.5   145.1    74.4   121.2   136.5   191.9   214.5   227.6   236.4   249.4   266.1   293.9   429.9  1941.1  7291.3   9632.9     9592
read      209.8   164.4    68.9   120.6   137.5   195.2   217.7   230.9   240.7   252.7   269.9   298.6   442.8  2278.9  7632.2  10091.2    10105
read      268.1   356.4    63.8    97.8   108.3   222.5   287.6   324.7   350.6   378.9   413.2   466.9  1064.5  5776.2 10631.2  60641.6    60724
read      465.1   585.0    63.8   129.7   149.4   257.5   318.8   385.9   541.8   893.2  1272.3  1486.6  2728.9  7184.0  9571.4 119821.1   119927
read      269.0   357.5    63.8    98.2   108.7   221.1   288.7   327.9   355.1   385.1   421.3   476.9  1036.8  6136.6 11370.6  65478.0    65527
read      428.3   583.9    68.9   144.9   167.5   281.9   332.2   365.9   395.3   440.9   593.2  1443.4  3367.8  6555.4  8773.9 156924.7   157016
read      268.2   358.2    63.8    97.8   108.7   218.9   280.6   316.9   341.9   369.8   403.9   467.4  1137.2  6666.1  8782.3  55021.2    54947
read      396.4   555.7    68.9   138.3   159.4   274.7   326.1   358.5   384.7   421.3   489.1  1288.6  3359.4  6066.5  9085.7 156035.6   156258
read      281.4   339.3    63.8   101.9   113.2   209.5   285.3   339.0   377.7   419.2   470.5   564.8  1344.9  4472.5  8718.7  87347.1    87466
read      426.5   619.7    68.9   146.1   168.1   284.7   333.4   364.1   389.4   424.7   492.9  1419.8  3418.4  7076.3  8894.4 158197.3   158356
read      387.4   533.8    68.9   149.0   172.6   293.9   343.7   373.7   397.8   429.0   475.4   591.0  3391.5  6375.8  8569.5 178460.3   178381
read      246.8   318.2    68.9   104.6   117.8   209.7   249.6   271.2   287.0   305.9   331.6   379.5  1280.1  3923.2  8108.9  23030.4    22951
read      428.4   605.2    68.9   155.2   178.5   297.1   347.9   380.3   405.4   441.6   503.7  1335.2  3436.5  6913.0 10264.4 175848.3   175941
read      431.2   617.0    68.9   133.6   154.8   272.6   324.1   361.0   394.2   447.7   635.0  1534.4  3386.6  7471.9 11067.9 134472.5   134449
read      215.8   275.1    68.9   113.1   127.6   187.0   211.8   226.1   235.8   250.2   270.0   309.3  1087.4  3283.4  8594.2   9903.4     9891
read      445.3   612.5    63.8   137.6   158.3   270.2   318.7   353.8   388.1   454.6  1213.2  1523.8  3355.3  7174.8  9223.4 136640.5   136643
read      465.9   762.6    68.9   135.9   155.5   264.9   306.6   333.6   357.9   397.8   586.6  1833.1  3460.8  7763.8 12175.2 133639.0   133849
read      257.8   254.3    63.8    98.7   109.3   212.3   281.9   323.8   353.7   386.3   425.0   483.5   828.3  3489.0  7492.0  73376.0    73419
read      424.0   596.8    68.9   142.2   165.0   283.0   334.1   367.1   395.0   434.7   521.4  1422.0  3415.4  6381.2  9350.4 152140.7   152253
read      380.5   602.1    68.9   129.7   149.3   259.5   310.2   340.5   364.4   394.7   439.3   606.4  3428.0  6927.1  9060.6 146548.1   146677
read      274.9   390.3    63.8    99.4   110.4   214.5   283.8   326.7   357.3   390.8   431.2   499.3  1262.7  6565.3 10829.7  71706.3    71810
read      276.7   379.3    63.8    98.3   109.3   226.7   290.8   327.5   352.8   381.1   415.8   472.0  1293.5  6817.4  9961.5  57334.7    57400
read      259.6   309.4    63.8    98.3   108.8   209.8   284.3   329.9   361.6   395.1   433.8   492.4   709.8  5396.9 10609.8  78708.9    78722
read      247.1   231.4    63.8   104.0   118.1   226.2   270.0   292.8   309.0   327.3   351.0   391.5   671.9  3247.7  7950.3  29651.8    29569
read      325.6   422.1    63.8   110.7   124.4   224.2   308.2   383.8   437.6   494.9   570.3   736.1  1568.5  6030.3 12846.0 104691.6   104362
read      302.9   419.5    63.8   106.5   119.0   216.2   295.3   356.4   399.9   447.1   505.3   611.3  1518.1  6395.3 12433.2  98318.6    98284
read      396.3   564.3    63.8   128.0   148.2   267.2   326.7   364.2   393.6   432.3   498.6  1357.7  3387.2  6342.8  9216.7 138273.1   138223
read      317.0   496.0    63.8   104.5   116.6   217.3   292.1   344.9   385.5   430.0   486.6   603.4  2371.7  7168.8 12208.5  88051.9    88070
read      469.6   579.8    68.9   155.9   180.7   310.9   370.7   413.2   452.8   517.9   801.0  1535.6  3298.7  5446.0  9089.7 165601.7   165686
read      423.6   558.7    74.4   167.2   192.6   316.9   373.0   407.5   435.2   471.3   527.8   667.1  3441.4  6517.9  9720.2 158568.4   158560
read      429.2   563.7    68.9   136.1   156.2   267.3   331.3   383.3   440.4   566.6   860.7  1385.0  2871.5  7163.0 10177.5  95242.9    95129
read      403.5   550.8    68.9   140.2   161.7   280.2   337.6   372.5   399.9   435.3   495.4  1328.4  3298.5  5658.6  8309.1 143644.2   143586
read      291.8   401.2    63.8   104.5   116.4   218.1   295.3   346.8   383.9   423.5   470.6   549.8  1491.5  6167.2 11953.1  85685.3    85844
read      231.7   211.8    68.9   117.2   135.9   210.2   238.7   254.9   267.3   281.6   300.8   337.0   820.0  3158.7  7616.7  13865.2    13890
read      478.0   750.6    68.9   147.1   168.9   283.6   331.3   364.5   394.0   437.4   558.0  1751.4  3486.3  7712.1 12465.1 144726.7   144964
read      482.7   748.8    68.9   151.6   175.2   290.3   334.5   365.2   393.3   436.2   544.7  2127.2  3465.9  7713.8 10466.1 154855.8   154660
read      411.1   593.9    68.9   153.6   179.7   291.9   334.8   363.2   387.8   423.9   488.9   789.7  3364.8  7274.7 11777.9 179885.2   179907
read      250.8   237.2    68.9   119.4   135.8   224.5   264.2   287.0   304.3   325.9   357.8   418.0   644.9  3390.1  8008.0 113984.8   113999
read      235.4   149.5    68.9   123.1   138.7   216.6   253.9   275.9   293.0   313.8   341.3   387.5   506.3  1954.8  6227.2 179795.1   179853
read      251.7   190.7    63.8   100.6   111.5   203.8   279.5   331.0   366.1   402.0   444.0   503.3   647.3  2299.1  6168.6  89673.8    89564
read      249.1   177.3    63.8    98.0   108.4   219.1   287.0   325.4   351.6   379.7   412.3   460.4   595.2  2437.4  4301.3  65382.1    65277
read      253.6   226.3    68.9   118.6   133.2   216.0   259.2   284.8   304.0   327.8   361.7   424.1  1375.9  3211.4  7085.0 168308.2   168541
read      203.3    86.3    68.9   124.5   141.2   198.3   219.0   231.2   240.0   250.9   265.8   289.7   344.3   758.1  3117.0  13886.0    13907
read      203.6   129.4    63.8    99.1   108.9   181.8   234.2   262.9   281.2   301.2   324.8   361.0   432.5   573.5  1720.4  91201.1    91291
read      213.2    82.8    63.8   103.9   115.0   212.0   248.5   266.3   278.4   292.7   311.6   340.8   402.1   531.5  2110.2  46945.1    46910
read      198.1   195.7    74.4   130.4   142.3   187.0   205.5   216.3   224.8   234.3   249.2   272.8   328.0  1187.4 10563.7   6969.7     6985
read      200.2    93.1    63.8   102.7   112.8   178.2   219.6   246.8   267.4   291.2   319.7   362.2   445.6   624.5  1175.3 128600.1   128680
read      228.1   101.1    63.8   121.8   136.9   212.1   248.3   270.1   286.8   307.2   334.5   378.8   498.9   995.8  3127.6 177796.0   177529
read      212.1    84.1    63.8   103.0   113.7   209.7   249.0   267.5   280.1   294.4   313.7   343.0   408.8   529.9  2092.9  52869.2    52917
read      209.4    91.3    63.8   110.7   122.6   191.6   228.5   251.4   269.2   290.6   318.2   362.2   458.9   796.4  1834.7 157231.8   157351
read      207.7    92.4    63.8   100.6   110.6   190.5   243.3   268.9   285.7   304.1   326.3   361.0   432.5   552.4  2076.9  79567.3    79512
read      221.7    96.8    63.8   118.5   132.3   205.3   241.8   264.4   281.1   301.5   328.9   371.5   474.5   904.4  2269.5 169863.2   169849
read      201.6    90.3    63.8   103.5   113.7   179.7   220.8   247.8   268.4   292.0   320.3   363.2   454.5   706.9  1749.2 129791.3   129840
read      212.7    95.7    63.8   102.1   112.4   201.2   251.8   274.3   289.7   306.9   327.7   360.2   428.4   539.2  2155.0  68823.2    68958
read      207.6   112.4    63.8   100.3   110.2   190.8   243.6   268.7   285.0   302.8   324.1   358.2   429.9   554.3  2049.2  78166.9    78185
read      201.4    90.7    63.8    99.5   109.3   179.4   229.8   258.7   277.6   298.4   322.5   359.5   433.5   577.2  2089.8  99119.1    99160
read      220.3    96.6    63.8   118.7   132.6   204.6   239.8   261.5   277.3   297.1   323.7   367.7   471.0   912.6  2073.3 175316.6   175300
read      211.4    97.0    63.8   107.0   118.8   212.2   241.0   256.2   267.3   279.7   295.8   321.0   380.7   505.7  3003.2  36346.4    36448
read      210.5    83.7    59.1   102.5   113.0   208.4   247.1   265.5   277.6   292.4   311.3   340.2   403.0   519.8  1373.0  53157.8    53071
read      200.5   102.7    63.8   101.0   110.6   177.2   222.0   250.6   271.1   294.1   321.2   362.5   452.5   681.5  2536.6 116227.2   116191
read      201.3    91.2    63.8    99.0   108.6   179.9   230.7   259.1   277.5   297.6   321.5   358.2   434.2   579.0  1299.4  94991.2    94924
read      207.5    68.9    63.8   109.6   122.0   208.3   233.1   246.8   256.2   268.5   284.0   309.1   367.0   470.6  2068.0  29469.9    29524
read      208.9    85.7    63.8   101.8   112.0   206.0   246.1   264.7   276.9   291.8   310.5   339.1   401.7   508.2  2051.0  54958.5    54900
read      207.3    80.0    63.8   101.5   111.8   206.0   243.1   260.9   272.8   287.4   305.4   333.8   396.0   491.7  1832.1  51626.2    51575
read      250.4   108.1    68.9   127.6   143.9   231.8   275.5   302.1   321.4   346.0   378.9   430.4   545.1   877.4  2175.4 179036.7   179186
read      209.7   119.1    59.1   100.6   110.6   197.0   247.6   270.1   285.1   301.6   321.7   355.1   426.2   567.6  3234.1  69926.0    69854
read      205.3    89.4    63.8   100.6   110.7   184.8   236.7   264.6   282.5   302.1   325.3   361.6   441.0   591.7  1551.4  90659.7    90623
read      207.6    78.4    68.9   114.4   130.2   207.2   229.2   241.2   250.2   261.3   274.6   297.3   350.0   462.1  2730.1  21998.9    21966
read      207.3    92.5    63.8   100.5   110.4   190.8   243.5   268.5   284.6   302.2   323.1   357.7   430.2   558.4  2359.2  78355.5    78283
read      224.1    94.0    63.8   118.9   133.2   207.9   244.8   267.4   284.4   305.2   332.9   376.1   486.6   925.0  2005.4 170624.9   170491
read      208.7   120.5    63.8   100.6   110.5   194.2   245.6   269.1   284.5   301.5   321.9   356.1   429.9   567.8  2014.3  73787.2    73759

Total QPS = 95527.7 (95527696 / 1000.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 23595340171 bytes :   22.5 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,19.60%,100.00%
