Random waveform, random seed
Total number of intervals = 100 (25895, 129396, 131616, 164434, 126746, 37897, 78402, 69215, 20918, 142002, 66642, 175856, 106579, 77018, 94823, 71436, 80579, 82888, 39588, 150783, 127549, 57096, 37470, 64455, 163710, 33102, 162932, 84946, 149463, 161480, 169479, 32423, 132386, 161956, 123967, 60799, 157220, 150765, 172617, 108776, 85677, 7749, 18368, 156970, 152362, 64045, 109021, 168297, 119421, 140840, 140152, 132335, 167388, 64169, 92464, 162687, 164935, 139822, 174082, 49146, 132341, 102434, 74893, 72801, 81853, 138251, 29677, 5187, 10645, 38925, 27915, 143482, 91263, 93326, 115340, 142096, 77033, 159926, 135049, 106237, 103893, 90921, 126128, 163160, 67256, 166224, 112199, 26366, 174247, 24848, 32166, 174907, 95344, 84413, 126617, 143599, 134881, 88308, 126796, 6602)
Average QPS expected = 103427
Timestamp start: 1747170015711
Timestamp end: 1747171016017

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.1   211.1    63.8   104.3   120.0   223.9   262.7   282.8   296.6   313.5   335.5   371.6   870.2  2834.4  7466.1  25885.5    25895
read      375.0   571.0    63.8   114.7   131.6   240.3   292.2   321.7   346.2   382.8   466.5  1409.7  3274.5  6929.4  9261.3 129377.9   129396
read      281.5   352.8    63.8   106.6   119.1   208.4   260.4   290.5   313.0   341.3   384.4   526.5  1645.1  3663.5  8102.3 131687.4   131616
read      232.1   192.4    63.8   115.0   129.3   208.2   249.1   273.6   292.3   314.9   344.7   395.1   533.2  2726.7  8025.3 164214.2   164434
read      360.4   458.6    63.8   112.2   128.3   236.1   291.2   324.4   353.0   397.9   619.8  1401.7  1928.3  4124.3  8465.6 126945.3   126746
read      242.6   166.7    63.8    98.8   111.4   225.5   275.1   301.2   318.8   339.7   365.7   404.9   571.2  2306.1  5630.9  37935.4    37897
read      272.7   373.0    63.8    98.0   108.9   216.4   289.7   334.5   365.2   398.6   438.5   503.1  1101.1  6290.0 11066.7  78483.8    78402
read      266.0   342.4    63.8    96.6   107.0   219.4   287.4   326.9   354.1   384.2   420.5   475.0   925.1  6004.6  9808.1  69433.6    69215
read      232.1   154.3    68.9   107.3   125.4   220.3   255.3   273.9   287.6   303.3   323.6   359.7   518.2  2007.5  6986.1  20898.9    20918
read      281.1   329.8    63.8   112.5   127.0   218.8   270.6   301.0   323.8   353.3   396.5   502.7  1581.4  3410.5  8048.7 141949.3   142002
read      274.8   349.6    63.8    97.7   108.6   224.9   292.2   331.5   359.1   390.2   428.4   493.8  1204.3  5429.0 10054.8  66525.6    66642
read      360.3   283.6    68.9   166.0   190.5   319.5   380.4   413.4   436.7   465.6   504.4   581.4  1480.7  3312.2  9339.5 175763.0   175856
