Random waveform, supplied seed
Total number of intervals = 100 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237)
Average QPS expected = 93343
Timestamp start: 1747173157321
Timestamp end: 1747174157631

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      207.6   196.0    63.8   125.2   139.1   190.1   212.3   225.0   233.9   246.4   262.9   291.2   475.7  2370.6  7943.4   8170.2     8195
read      326.7   456.0    63.8   128.7   147.1   254.6   309.1   340.2   363.6   391.5   428.2   494.6  3219.9  5320.7  8570.8 158493.6   158594
read      223.7   177.6    63.8   110.1   122.1   197.4   239.1   265.3   284.7   307.9   338.0   385.4   509.4  2939.8  6563.9 149837.2   149766
read      200.9    73.3    68.9   119.0   134.5   193.9   219.5   233.5   244.5   257.1   273.4   298.9   355.0   530.4  2135.6  10393.6    10382
read      297.2   228.5    63.8   137.0   156.4   260.1   314.7   348.4   373.4   402.0   437.4   494.3  1344.6  3266.9  7001.4 170313.7   170548
read      221.3   164.2    63.8   110.2   122.1   196.5   237.3   263.4   282.5   305.6   335.4   381.4   502.9  2180.7  6263.7 150437.8   150565
read      222.1   179.9    63.8   105.3   116.4   190.9   234.5   261.8   281.7   305.5   335.8   383.9   646.1  2612.1  4641.7 137157.9   137144
read      218.6   155.9    63.8   107.5   118.9   192.3   234.1   260.6   280.0   303.5   333.8   380.4   508.7  2228.6  4806.7 143603.7   143496
read      220.6   182.5    63.8   108.2   119.7   193.9   235.7   262.4   281.8   305.2   335.1   380.8   503.8  2995.4  7527.8 144696.3   144743
read      257.6   298.7    63.8   102.4   113.0   196.0   248.0   279.3   302.4   330.2   368.1   446.6  1576.3  3307.7  7770.3 116892.6   116745
