Random waveform, supplied seed
Total number of intervals = 100 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237)
Average QPS expected = 93343
Timestamp start: 1747206124102
Timestamp end: 1747207124347

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      203.3   183.1    63.8   105.3   120.4   194.0   212.3   222.2   229.7   237.8   250.6   271.7   528.2  2209.3  7891.7   8156.5     8195
read      488.4   664.9    74.4   169.5   193.0   327.0   384.8   420.4   450.4   495.5   594.4  1574.6  3459.9  6810.7  8128.8 158549.3   158594
read      427.2   568.0    74.4   161.7   183.8   318.8   377.0   410.9   437.6   475.7   541.4   723.8  3404.0  6402.7  8198.2 149914.6   149766
read      231.1   360.2    63.8   108.6   122.7   193.9   218.0   231.7   242.3   255.0   275.5   331.2  1393.5  7638.1  8131.9  10375.2    10382
read      578.7   674.5    74.4   162.3   184.1   319.4   388.4   454.3   646.8  1338.7  1511.2  1725.1  3418.0  5223.6  8029.0 170297.7   170548
read      512.8   686.2    74.4   169.8   193.3   332.8   394.6   435.3   473.8   544.1   736.3  1715.1  3483.5  7041.5 11058.5 150610.9   150565
read      569.6   763.3    74.4   162.4   183.8   315.1   376.2   424.5   481.3   706.8  1509.5  2052.9  3506.2  7242.5  9242.2 137008.6   137144
read      493.7   686.9    74.4   168.7   192.9   329.8   390.6   428.9   461.9   510.7   621.7  1607.0  3476.5  7283.8 10245.0 143493.1   143496
read      501.2   715.0    74.4   171.1   194.5   328.9   385.5   421.0   451.5   498.2   605.4  1728.6  3484.2  7222.8  9511.7 144825.8   144743
read      487.2   682.5    74.4   171.5   195.5   331.0   388.4   425.2   457.1   505.3   613.8  1530.8  3482.8  7568.6  9649.9 116853.8   116745
read      488.7   678.0    68.9   172.1   196.4   332.4   390.8   427.8   460.2   509.0   621.5  1536.4  3496.8  6976.6  9973.3 129257.9   129314
read      505.9   691.4    68.9   170.1   194.0   328.3   387.4   426.3   462.1   524.8   695.6  1700.3  3485.5  6920.2 11610.0 144699.4   144723
read      511.0   681.9    74.4   166.8   190.6   323.7   388.4   433.6   477.5   559.6   819.1  1695.3  3469.6  7572.1 11027.4 117390.8   117379
read      473.3   600.3    74.4   168.8   193.4   330.8   397.8   441.2   479.2   539.0   656.7  1508.2  3410.4  7323.8  9516.2 119923.1   119931
read      524.5   718.8    74.4   174.9   198.6   338.0   397.8   435.7   470.2   531.7   703.9  1781.5  3550.7  7261.1 10027.5 132030.1   132052
read      552.2   763.1    74.4   170.9   194.0   332.9   395.1   436.8   478.1   560.2  1230.5  1978.1  3637.2  7224.5  9870.8 143262.3   143350
read      481.5   661.6    74.4   170.5   193.9   331.5   395.4   435.8   469.9   520.0   611.5  1422.6  3477.1  7515.6  9825.3 143744.0   143518
read      466.1   622.3    68.9   171.0   195.8   333.2   396.2   435.9   468.8   515.5   594.6   902.4  3449.2  7233.5  9566.7 173005.4   172981
read      481.0   664.2    74.4   176.5   201.0   335.9   393.2   429.1   459.6   503.1   586.3  1209.8  3480.2  7363.0  9009.4  93915.8    94027
read      455.4   573.4    74.4   172.1   195.6   329.4   392.1   433.0   468.3   521.2   615.7   988.7  3412.7  6425.4  8432.5 170119.9   170019
read      443.1   594.8    74.4   153.5   175.6   305.8   368.4   407.4   440.9   492.7   598.2  1346.7  3412.3  6447.1  8470.1 179127.8   179090
read      401.7   590.6    68.9   130.4   149.2   270.5   341.2   387.9   426.7   482.8   587.2  1028.7  3252.2  7836.0  9797.4  47197.7    47130
read      438.7   608.8    63.8   122.4   139.7   262.1   365.8   447.0   526.5   661.5   830.4  1421.9  2843.5  7829.3  9827.9  19477.7    19439
read      415.1   572.9    74.4   145.4   165.2   289.2   350.2   387.0   416.3   457.9   534.6  1284.3  3389.0  6648.4  8087.1 129049.5   128963
read      296.9   321.2    59.1   118.0   132.9   227.9   287.1   326.9   361.1   409.6   491.6   663.4  1433.0  3999.3  8491.6  23834.7    23787
read      275.0   309.2    59.1   108.0   119.2   234.5   295.1   330.4   356.5   386.6   423.5   483.1  1011.8  5452.2  8513.0  61716.2    61848
read      433.6   460.9    68.9   128.3   146.5   270.6   384.7   511.0   632.3   769.0   954.1  1280.5  1792.1  4814.5 10830.8 102126.9   101968
read      541.1   609.7    74.4   148.3   170.5   302.5   400.1   505.4   783.8  1176.7  1413.0  1622.2  2838.3  6944.3  9727.5 108577.4   108767
read      374.0   425.7    68.9   119.1   135.1   249.1   339.4   427.6   499.3   588.4   725.7   997.5  1862.7  4394.3 10957.7  97027.2    97139
read      533.8   646.8    74.4   169.4   192.1   333.8   400.3   450.3   503.6   646.4  1376.5  1652.6  3418.2  6500.0  9209.9 158663.8   158594
read      460.9   632.0    74.4   174.9   198.4   336.5   397.1   432.5   461.1   499.5   565.5   768.0  3478.9  7033.0  9233.4 141167.0   141240
read      305.1   409.9    63.8   115.7   130.8   241.2   297.2   330.8   356.0   387.1   432.4   549.8  1809.7  7302.6  9186.5  41422.0    41405
read      271.0   296.7    59.1   107.2   118.3   239.6   298.4   331.8   355.2   381.5   413.5   462.6   708.7  5042.7  9035.2  58021.7    57997
read      535.1   807.5    74.4   164.1   185.3   314.0   371.5   407.6   439.5   492.3   671.0  2987.2  3561.1  7654.2 11347.3 133480.9   133577
read      292.1   343.1    63.8   108.6   121.1   240.1   296.6   330.5   356.3   387.0   427.6   509.2  1626.7  4900.9  8367.9  53783.7    53832
read      598.9   730.7    74.4   164.5   186.4   329.3   401.9   469.4   651.2  1337.5  1534.8  1788.0  3478.9  7113.5  9138.0 139752.0   139832
read      638.0   769.7    74.4   165.7   188.0   334.5   412.2   507.8   964.2  1457.0  1642.3  1906.6  3681.4  7224.8 10745.9 170377.2   170515
read      521.4   668.7    74.4   163.7   185.9   314.0   380.4   434.6   495.6   634.9  1354.1  1714.4  3441.0  7256.4  9962.1 128616.6   128494
read      458.8   781.1    68.9   145.8   164.4   263.5   320.4   367.7   417.8   503.9   682.4  1472.5  3443.8  8020.1 10036.8  20831.6    20789
read      336.9   409.4    59.1   113.9   129.3   242.9   310.9   361.9   403.4   461.4   560.6   824.3  1936.3  5725.6 10003.7  63786.0    63647
read      281.6   326.4    63.8   107.1   118.6   239.7   303.8   340.5   368.1   399.6   438.9   504.9   991.1  5329.2 10074.6  64801.1    64802
read      285.6   356.6    59.1   107.6   119.1   243.4   301.7   334.8   358.9   386.2   420.4   478.3  1233.1  6284.6  9690.1  55798.4    55719
read      556.2   723.0    68.9   163.6   186.7   319.9   386.1   436.6   497.8   711.0  1447.3  1771.5  3477.2  7128.6  9873.6 174475.5   174179
read      539.8   658.9    74.4   168.8   193.4   331.4   402.3   454.4   505.3   634.9  1419.4  1736.4  3527.4  6428.7  8112.5 106333.9   106356
read      587.8   697.9    68.9   161.4   183.4   322.0   394.6   467.8   618.6  1351.8  1569.6  1828.1  3573.4  5239.3  8060.5 178576.7   178750
read      558.0   715.4    74.4   163.3   186.8   319.6   387.8   441.8   506.8   740.6  1477.6  1813.0  3565.7  7285.0  9130.2 106082.1   105831
read      470.0   671.1    74.4   143.3   161.5   263.0   319.3   364.5   410.8   508.8  1241.2  1712.8  3411.1  7317.1  9773.6 110772.2   110667
read      468.4   963.9    59.1   117.2   130.6   205.5   264.9   318.9   379.3   507.8   855.4  1796.0  7129.2  8132.9 12624.8   8825.3     8803
read      279.0   299.3    63.8   109.6   121.7   244.0   300.4   332.7   356.5   384.3   420.6   484.0   861.8  5018.9  8103.7  45591.9    45662
read      268.5   253.6    63.8   112.5   126.1   246.0   293.4   318.3   336.6   357.8   384.6   427.6   675.8  3890.4  7958.7  30963.4    30867
read      270.7   211.9    59.1   109.3   121.1   247.5   303.2   334.0   356.0   381.1   412.4   463.2   742.9  3068.1  7252.4  45693.9    45656
read      535.5   620.6    68.9   141.4   164.2   304.2   411.6   514.8   704.3   996.5  1363.5  1682.5  3083.3  5743.5  9814.0 101030.0   100938
read      365.0   454.5    63.8   132.9   153.0   276.1   338.7   375.8   405.0   444.3   504.3   678.0  3012.1  4644.9  9832.9 132340.7   132360
read      271.9   248.6    59.1   107.0   118.1   232.7   297.6   335.3   363.6   396.3   436.9   505.2   832.0  3280.3  7801.0  67532.6    67591
