Random waveform, random seed
Total number of intervals = 90 (29049, 116073, 46756, 40049, 22289, 75812, 113695, 141983, 106658, 10023, 79878, 27254, 58274, 65724, 149183, 178901, 12369, 143234, 123139, 143287, 144785, 115945, 168635, 25269, 120914, 27109, 68220, 90845, 64371, 160529, 117760, 40879, 132310, 97510, 84816, 66984, 149091, 27007, 100803, 133346, 20808, 44374, 80096, 19874, 93783, 100870, 33412, 123104, 85730, 26233, 39895, 59596, 57634, 163407, 9925, 6046, 95894, 50294, 173804, 97119, 164570, 131398, 179371, 37681, 120803, 84406, 173462, 122183, 179402, 26794, 28238, 141352, 166229, 12048, 166929, 59106, 50575, 171305, 97459, 109758, 139453, 110371, 114924, 162101, 113432, 112462, 82727, 130714, 51492, 9448)
Average QPS expected = 91698
Timestamp start: 1747066837541
Timestamp end: 1747067737883

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      212.5    93.5    68.9   105.6   117.4   209.5   241.7   258.7   270.5   284.5   302.0   330.3   394.6   833.6  2717.1  28936.1    29049
read      216.0   161.5    68.9   103.1   113.3   184.3   231.2   259.8   279.8   302.7   332.4   385.9   670.4  1838.3  5991.3 116007.4   116073
read      233.0   165.3    63.8   100.3   111.1   215.7   261.9   287.3   305.4   326.3   353.8   396.4   540.7  2555.6  4629.6  46777.8    46756
read      232.0   176.8    68.9   100.2   111.5   215.0   260.8   284.9   301.5   320.8   345.7   387.6   557.1  2225.5  7189.4  40106.6    40049
read      210.2   104.2    68.9   105.5   118.4   203.7   233.0   249.1   260.9   274.3   293.8   326.8   439.3  1191.0  2990.0  22183.3    22289
read      247.7   150.9    63.8   103.3   114.6   221.1   281.3   315.0   339.5   368.7   407.6   470.7   644.9  1258.3  5550.2  75732.2    75812
read      282.5   177.4    63.8   112.6   126.5   229.0   306.8   360.6   398.7   443.2   502.0   610.1   893.8  1279.8  2094.3 113654.9   113695
read      228.4   164.5    68.9   110.6   122.4   197.4   240.0   266.1   285.2   308.1   338.8   395.3   853.4  1911.7  3718.2 142026.3   141983
read      210.5   107.7    63.8   103.5   113.7   187.3   235.9   264.0   282.7   303.6   329.8   371.7   504.9   929.2  2582.0 106580.7   106658
read      187.6    69.1    68.9   120.4   134.0   182.4   201.2   212.4   219.8   229.4   241.4   262.2   317.7   734.1  2173.0   9985.2    10023
read      258.7   231.4    63.8   102.7   113.5   214.4   283.0   325.2   358.7   398.4   447.8   516.2   694.6  3262.7  7900.1  79777.9    79878
read      228.3   138.2    68.9   104.9   117.5   217.7   254.3   274.4   289.4   306.7   329.1   366.3   509.7  1824.8  4054.6  27226.1    27254
read      255.5   252.4    63.8    99.8   110.3   225.7   284.4   318.2   343.2   371.5   408.1   462.5   637.0  3802.6  7743.9  58289.0    58274
read      252.9   191.0    63.8    99.9   110.4   223.8   288.1   326.2   354.3   386.3   425.5   479.7   612.1  2410.3  5985.8  65819.7    65724
read      230.9   157.9    68.9   114.2   127.7   204.3   246.2   271.4   290.5   313.4   343.4   395.8   615.9  1988.6  4394.7 149097.2   149183
read      297.7   143.3    68.9   149.2   169.8   274.3   322.3   351.3   373.2   401.1   439.8   509.5   745.0  1417.0  3299.7 179120.7   178901
read      197.5    97.6    68.9   113.0   128.5   189.6   212.6   225.3   234.1   246.0   261.1   287.2   388.4  1425.6  3258.8  12382.5    12369
read      324.6   300.4    68.9   127.1   144.7   252.1   310.7   347.5   379.1   425.1   507.7   762.9  1578.4  3115.4  7593.3 143374.8   143234
read      234.2   147.8    63.8   109.2   120.9   201.3   249.8   279.2   301.0   327.6   365.4   440.5   769.6  1637.5  3050.9 123193.3   123139
read      218.2   117.4    63.8   109.7   121.1   193.7   236.0   263.1   282.7   306.1   336.5   388.8   569.3  1151.5  2943.0 143334.7   143287
read      219.7   144.9    68.9   110.0   121.6   194.3   235.4   261.5   280.3   303.2   333.3   384.3   577.9  1713.7  5184.0 144732.1   144785
read      212.7   123.9    63.8   103.7   113.9   185.2   231.8   260.4   280.1   302.3   330.3   377.5   620.7  1385.6  2736.2 115933.6   115945
read      237.3   169.7    68.9   122.1   137.1   215.4   254.4   278.0   295.8   318.2   349.1   404.4   590.3  1451.0  4572.8 168543.4   168635
read      214.0   110.4    63.8   104.7   117.0   208.6   237.8   254.0   265.9   279.1   296.6   329.6   466.6  1143.2  4188.3  25269.1    25269
read      278.8   260.3    68.9   110.4   123.1   212.3   265.8   299.0   326.4   366.5   446.1   697.6  1429.5  2622.9  5983.3 120942.6   120914
read      219.2   126.2    63.8   103.7   115.8   211.7   243.9   261.1   272.9   288.0   307.3   340.6   508.9  1771.0  4221.9  27077.2    27109
read      241.9   136.4    63.8    99.9   110.5   221.2   278.2   310.1   333.0   359.8   393.7   449.1   604.6  1430.8  3144.1  68253.9    68220
read      253.1   181.9    63.8   101.7   112.7   213.5   282.9   327.1   359.3   394.8   438.7   502.7   672.5  2012.2  6114.7  90949.8    90845
read      236.0   168.9    63.8    98.7   108.9   217.0   270.3   299.3   319.5   343.8   373.5   421.0   529.1  2457.9  5323.7  64397.3    64371
read      236.8   192.3    68.9   114.9   128.5   205.2   245.6   270.0   288.3   310.8   341.5   399.4  1026.5  2401.9  5735.8 160485.5   160529
read      207.9   115.1    68.9   103.4   113.5   183.7   229.2   257.2   276.9   299.1   325.8   368.0   500.1  1136.3  2680.4 117690.5   117760
read      224.9   151.7    63.8   101.3   112.2   218.7   259.1   280.1   294.7   312.5   335.3   370.0   460.0  1107.8  3607.4  40899.6    40879
read      286.0   302.1    63.8   112.1   125.6   215.3   264.7   293.1   315.3   345.0   399.9   716.2  1583.5  3070.1  7101.3 132186.0   132310
read      206.2   105.1    68.9   101.3   110.7   183.0   233.4   262.2   281.0   301.6   325.8   364.8   470.6   923.5  2781.1  97552.0    97510
read      244.6   158.3    63.8   101.1   111.7   211.6   275.9   313.6   341.8   375.0   417.0   478.3   627.7  1754.2  4751.3  84857.0    84816
read      254.0   202.5    63.8   100.8   112.0   225.8   283.6   315.7   339.0   366.7   402.6   466.7   752.4  3033.8  5986.5  66876.4    66984
read      221.3   153.6    68.9   110.6   122.4   195.1   235.4   261.0   279.6   302.3   332.2   383.2   593.7  1953.2  5997.5 149095.2   149091
read      209.7    95.4    63.8   101.9   113.6   207.2   237.3   253.6   265.4   278.4   295.4   321.0   396.0  1045.1  2372.8  27115.3    27007
read      212.7   151.5    63.8   101.1   110.9   185.0   236.4   266.2   286.2   308.6   336.7   385.0   533.3  1386.4  6017.0 100775.6   100803
read      208.5   123.3    63.8   104.9   115.6   184.5   226.8   252.9   272.1   294.4   321.4   365.9   491.9  1535.0  3682.9 133305.5   133346
read      203.5    91.8    68.9   103.5   116.1   200.3   227.7   242.0   252.3   265.0   280.7   307.3   380.3   959.2  2752.0  20860.6    20808
read      227.4   150.6    63.8    99.6   110.4   217.0   260.4   282.9   298.1   316.1   339.6   374.7   495.0  1658.5  6059.1  44359.6    44374
read      245.2   185.7    63.8    99.4   109.9   215.4   278.5   315.1   341.5   371.6   408.1   463.9   601.4  1962.7  6654.4  80075.9    80096
read      205.4   149.0    63.8   104.9   118.1   199.4   225.4   239.0   249.5   261.8   276.3   303.2   388.0  1417.8  7962.5  19930.6    19874
read      219.9   178.5    63.8   101.1   110.8   187.8   242.4   272.5   292.8   315.9   346.8   409.0   605.0  1683.0  7583.1  93902.8    93783
read      218.6   185.3    63.8   101.9   111.8   186.2   237.7   268.3   289.0   312.4   342.9   401.7   618.0  1656.8  5892.3 100976.0   100870
read      223.0   131.6    68.9   102.6   114.1   212.3   250.5   270.8   285.3   301.6   322.0   357.8   491.6  1855.5  3362.2  33451.0    33412
read      288.3   345.7    63.8   107.6   119.6   207.2   261.6   290.8   312.0   338.5   383.1   879.3  1616.5  3565.1  7726.1 122968.2   123104
read      250.2   250.9    63.8   101.2   111.5   206.2   270.7   309.1   339.0   375.9   422.9   491.2   703.0  2978.4  9041.4  85857.4    85730
read      215.9   121.1    68.9   102.6   114.8   208.3   242.6   260.6   272.7   287.4   305.5   335.0   444.5  1531.5  3836.5  26254.0    26233
read      236.5   183.6    68.9   100.8   112.2   218.7   264.8   289.1   305.8   324.2   347.2   387.1   571.7  2859.9  7114.9  39813.0    39895
read      254.6   253.1    63.8    99.3   109.8   223.7   280.6   313.6   338.0   366.3   399.1   450.9   685.9  3870.9  7771.9  59645.1    59596
read      248.7   228.4    63.8    99.1   109.4   222.7   277.8   309.7   332.6   359.4   391.2   438.3   610.0  3689.7  7597.1  57552.3    57634
read      279.8   276.5    68.9   125.4   141.6   233.5   279.5   306.4   326.5   352.4   391.3   477.0  1465.4  2989.5  8323.1 163569.7   163407
read      182.2   136.4    68.9   115.0   127.9   173.6   191.8   201.6   209.8   218.4   231.1   251.4   316.5  1505.3  7288.9   9886.3     9925
read      170.8    93.7    74.4   118.5   127.1   162.4   177.6   186.1   193.2   201.1   213.4   232.0   296.4  1278.5  2934.7   6047.9     6046
read      231.1   245.8    63.8   101.8   111.7   189.8   243.5   273.0   293.5   316.6   347.7   416.6   882.3  3551.8  7767.9  95577.3    95894
read      245.4   232.8    68.9    99.5   110.1   222.3   273.7   302.6   322.2   345.5   374.4   419.2   578.2  3879.2  7661.9  50413.4    50294
read      333.2   289.6    68.9   151.9   173.7   283.7   330.0   357.5   378.1   404.1   444.5   541.9  1560.0  3394.1  7645.9 173903.2   173804
read      205.9   120.5    63.8   100.8   110.2   181.5   231.8   260.7   279.6   300.2   324.6   363.5   468.5  1161.0  3411.3  97195.1    97119
read      232.3   174.0    68.9   118.5   132.5   210.2   249.6   273.0   291.1   313.1   342.7   395.6   559.1  1784.8  5503.4 164366.8   164570
read      212.2   151.7    63.8   105.2   115.8   185.7   229.0   255.7   275.0   297.7   326.1   370.3   513.9  1901.9  5788.8 131400.6   131398
read      257.8   160.2    68.9   132.5   149.8   236.8   278.0   302.4   320.4   343.8   375.5   430.6   591.6  1766.4  6193.0 179369.1   179371
read      232.9   178.8    68.9   101.0   112.4   215.9   259.4   282.8   298.6   316.6   339.9   375.8   608.8  2582.1  5120.6  37647.1    37681
read      245.1   252.8    63.8   104.9   115.8   193.1   243.1   272.7   293.6   317.6   350.0   425.6  1461.5  2839.6  7223.3 120734.9   120803
read      257.0   269.8    63.8   101.2   111.6   209.7   276.8   318.3   350.7   389.2   435.5   504.1   743.5  3700.4  9097.3  84269.8    84406
read      340.8   293.6    74.4   155.3   177.9   287.8   332.1   359.1   380.2   408.2   456.5   613.3  1562.2  3330.7  7927.7 173355.4   173462
read      210.1   126.5    63.8   103.1   113.2   182.6   228.1   256.4   276.4   299.6   328.8   376.4   578.4  1340.2  3915.5 122093.1   122183
read      235.6   145.2    68.9   122.4   137.5   214.1   251.2   273.5   291.3   313.1   343.3   399.4   592.7  1616.0  4300.2 179365.5   179402
read      212.9   104.1    68.9   104.9   117.2   207.8   239.9   257.4   269.9   284.7   303.2   332.4   401.3   870.2  4796.3  26766.6    26794
read      228.4   135.6    68.9   103.9   116.4   218.1   256.6   276.8   291.4   308.3   330.0   367.2   496.3  1727.2  4202.4  28189.3    28238
read      263.6   297.7    63.8   111.3   124.3   208.3   256.8   285.2   305.9   331.3   367.9   453.6  1536.8  3632.3  8345.1 141402.4   141352
read      237.1   170.4    68.9   119.6   134.0   212.6   251.7   274.6   292.6   314.3   343.6   396.0   603.9  2350.2  5860.8 166387.4   166229
