Random waveform, random seed
Total number of intervals = 100 (148643, 27969, 166110, 118626, 76752, 173793, 93344, 77777, 60154, 154333, 112105, 29165, 139233, 80249, 143086, 86822, 176831, 45803, 128111, 50198, 135643, 125534, 153967, 79180, 20542, 123636, 105075, 7260, 17231, 124511, 106441, 28308, 97547, 14785, 134205, 102751, 137607, 45511, 116767, 149570, 39631, 173447, 57290, 160734, 64702, 117857, 98096, 141832, 19290, 77171, 37392, 167809, 144026, 129590, 67354, 73949, 125719, 106478, 134639, 51706, 109302, 161201, 42617, 119024, 107984, 69136, 99897, 126165, 74242, 150910, 155342, 85363, 170544, 79409, 23186, 107147, 6200, 60127, 64973, 133890, 50918, 153729, 103118, 20859, 17626, 118439, 78226, 93215, 6808, 125392, 30609, 92231, 95903, 21361, 64175, 18718, 90704, 147692, 140566, 83405)
Average QPS expected = 94042
Timestamp start: 1747121553795
Timestamp end: 1747122554133

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      213.3   111.6    68.9   114.5   126.7   194.3   231.1   254.2   271.9   293.1   320.0   362.6   455.2  1105.4  3846.1 148704.5   148643
read      211.3    74.0    74.4   116.5   130.0   211.3   235.6   249.3   258.9   270.2   285.0   307.7   359.1   512.9  2231.1  27930.5    27969
read      227.7   144.5    68.9   121.6   135.7   208.9   245.1   266.8   283.0   302.6   328.7   369.8   477.6  1994.5  5508.5 165944.0   166110
read      208.1   107.6    68.9   106.5   116.4   183.7   225.6   252.2   272.5   296.0   326.2   370.4   505.6  1168.5  2271.2 118566.7   118626
read      210.8    97.0    68.9   104.2   113.4   192.2   243.1   269.8   287.7   307.6   332.1   367.7   446.6   653.8  2335.0  76850.6    76752
read      235.1   136.8    68.9   127.6   142.3   218.1   253.6   274.4   290.6   309.9   335.3   375.0   480.4  1903.9  4929.5 173635.6   173793
read      211.5   112.0    68.9   104.4   113.7   186.5   236.0   265.8   286.4   309.9   338.8   382.4   495.2   819.0  3532.5  93311.5    93344
read      208.0    90.3    68.9   104.0   113.2   191.0   240.9   266.7   283.8   302.6   325.0   358.7   424.1   569.6  1899.5  77830.8    77777
read      215.3   103.8    68.9   105.8   116.1   205.1   249.6   271.0   285.6   301.8   321.8   354.6   427.4  1006.3  3231.7  60083.9    60154
read      212.8    95.9    68.9   116.3   129.0   196.5   231.9   253.9   270.7   291.0   316.9   356.7   435.9   815.7  2911.1 154158.7   154333
read      205.3    94.5    68.9   106.2   116.1   183.6   226.7   254.0   274.1   297.0   324.7   364.5   440.8   693.8  2330.5 112394.4   112105
read      211.9    63.6    74.4   115.7   130.1   212.3   237.3   251.3   261.3   272.2   287.3   309.9   358.4   455.2  1069.4  29189.9    29165
read      207.6    99.1    68.9   111.3   122.4   188.0   225.8   249.7   268.1   290.0   317.5   358.6   437.7   901.5  3087.3 139158.9   139233
read      211.1   105.0    68.9   104.6   114.4   191.4   241.9   269.4   287.7   308.0   332.7   367.7   438.0   618.6  3565.9  80199.0    80249
read      222.1   141.5    68.9   115.6   128.3   199.5   238.1   262.8   281.0   303.2   332.1   374.5   484.3  2158.6  4122.3 142942.8   143086
read      216.7   106.1    68.9   106.4   116.2   193.1   244.2   274.1   294.9   318.4   346.8   389.7   493.6   800.0  2544.3  86810.0    86822
read      300.6   146.0    74.4   155.1   176.7   282.8   333.2   362.5   383.7   408.0   439.4   487.7   586.3  1537.7  5122.0 176738.9   176831
read      218.9    87.1    68.9   109.5   119.5   214.7   253.9   273.4   287.4   302.9   321.5   352.7   417.5   647.0  2214.6  45894.7    45803
read      217.8   135.9    68.9   110.9   121.8   192.3   233.3   259.6   279.0   302.9   333.5   378.6   518.8  1745.6  3335.0 128179.4   128111
read      218.0    92.6    74.4   108.4   118.1   211.4   253.7   274.5   288.9   305.1   324.7   355.4   422.1   673.3  2530.2  50186.1    50198
read      215.6   128.3    68.9   112.1   123.7   193.2   232.2   257.0   275.6   298.2   328.0   371.7   473.4  1651.7  3176.7 135669.3   135643
read      217.8   134.2    68.9   110.5   121.4   192.1   233.3   259.9   279.6   303.5   334.0   379.6   521.9  1693.8  3175.9 125433.9   125534
read      230.5   155.6    68.9   120.5   134.3   209.2   247.8   271.3   289.3   310.9   339.2   384.3   499.5  2185.2  6112.2 153908.1   153967
read      214.5    99.3    68.9   105.7   115.1   193.5   245.4   273.7   293.2   315.2   341.7   380.0   465.7   680.0  2192.6  79147.8    79180
