Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747246077361
Timestamp end: 1747246857595

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      233.2   185.0    63.8   125.5   143.2   213.3   235.2   249.4   260.4   274.3   297.9   358.2   738.8  2478.1  7518.3   8161.2     8195
read      337.4   344.7    63.8   140.6   159.6   267.9   334.4   376.2   408.1   448.7   505.1   629.2  1877.5  3959.6  8109.9 158471.7   158594
read      288.4   193.8    63.8   132.6   149.5   253.6   312.8   348.1   375.2   408.4   454.6   533.3   787.1  2032.4  7395.1 149606.2   149766
read      235.7   151.0    68.9   130.0   148.5   222.0   246.0   259.9   271.0   286.1   308.5   352.7   574.4  2137.1  7208.0  10352.1    10382
read      372.5   429.4    63.8   144.5   165.4   283.4   352.5   396.9   430.9   472.8   536.4   682.4  2891.6  4018.9  8034.6 170378.3   170548
read      291.0   182.5    59.1   133.9   151.1   259.1   320.4   356.5   383.1   415.0   457.5   527.2   730.3  2131.4  5844.7 150394.8   150565
read      282.9   209.9    63.8   128.3   144.1   246.8   306.9   342.4   369.4   402.3   448.9   529.8   797.7  2399.2  3990.7 137109.5   137144
read      264.0   175.5    63.8   125.6   140.6   232.0   285.5   317.0   340.9   370.2   409.8   480.6   699.1  2197.6  5571.7 143395.9   143496
read      254.6   157.2    63.8   124.1   138.7   224.7   274.1   304.6   326.8   354.2   391.2   457.8   677.4  1948.4  4366.5 144735.6   144743
read      245.9   168.2    68.9   118.0   130.2   211.6   265.0   297.8   320.6   347.7   385.5   451.0   677.4  2180.5  4066.5 116749.4   116745
read      268.6   194.2    63.8   121.7   135.6   223.9   281.1   317.1   344.0   379.0   431.7   539.5   881.1  2492.6  5687.1 129332.4   129314
read      264.1   162.3    63.8   125.1   139.9   229.0   281.0   313.7   338.5   369.5   413.5   496.7   799.0  1696.7  3921.3 144444.9   144723
read      264.2   186.5    68.9   122.4   136.0   223.1   277.8   311.6   336.3   366.8   411.5   506.8   888.9  2353.1  4814.8 117325.8   117379
read      255.9   195.2    63.8   121.7   135.0   219.1   270.9   302.9   326.6   355.4   395.6   473.0   780.6  2464.3  7386.3 119908.9   119931
read      262.8   195.2    63.8   123.6   137.8   223.9   275.4   307.9   332.2   362.4   404.4   491.9   855.7  2540.4  5863.2 132198.5   132052
read      251.6   157.6    63.8   124.8   139.0   222.2   269.9   299.3   321.6   348.5   385.3   449.2   658.4  2266.4  4098.8 143072.8   143350
read      260.8   167.2    68.9   126.0   140.6   227.7   278.0   309.7   333.5   363.1   403.0   476.8   729.6  2332.4  4336.3 143556.8   143518
read      296.3   177.0    59.1   137.9   155.3   264.0   328.7   366.8   394.1   426.0   466.5   532.3   707.3  2067.0  5679.2 173018.3   172981
read      262.3   235.1    63.8   118.3   130.7   221.1   279.0   314.0   340.5   372.1   414.0   478.9   772.9  3351.6  7743.2  94162.4    94027
read      368.4   288.1    63.8   155.4   178.7   306.5   379.1   424.0   458.4   502.5   571.8   732.6  1499.2  3331.6  6932.0 170156.8   170019
read      348.8   230.5    63.8   164.2   188.2   302.1   364.1   403.1   434.3   473.2   531.2   639.7  1146.9  2806.9  5868.9 178823.4   179090
read      256.5   248.5    63.8   118.5   131.1   225.3   271.7   299.6   320.2   345.1   377.3   429.1   673.7  3837.7  7884.1  46994.7    47130
read      244.4   166.2    59.1   123.1   139.7   232.3   263.3   279.6   292.0   307.5   327.9   366.7   547.0  2248.9  7313.6  19387.1    19439
read      291.4   272.4    63.8   126.1   140.3   228.8   284.7   322.1   354.0   397.1   470.8   653.4  1258.5  2947.4  8941.5 129118.4   128963
read      261.3   202.5    63.8   124.3   140.4   239.8   274.2   293.9   309.0   326.9   352.9   407.2   914.4  2732.1  7575.8  23752.6    23787
read      275.1   272.7    63.8   116.0   128.0   233.5   294.7   331.2   357.0   386.1   421.6   479.4   981.5  3770.7  8928.7  61764.7    61848
read      258.9   221.6    63.8   121.0   133.5   218.2   272.5   305.6   329.7   359.6   399.4   471.0   803.7  3139.9  7859.7 102124.7   101968
read      235.0   141.4    63.8   119.3   131.0   207.0   255.8   285.8   307.1   331.5   362.9   413.2   574.4  1720.5  3705.7 108908.6   108767
read      276.3   279.6    68.9   120.3   133.3   226.3   287.2   325.3   355.3   390.8   435.1   506.0   949.6  3725.3  9628.0  97091.9    97139
read      293.0   189.9    63.8   136.2   153.2   257.1   317.2   354.4   382.4   416.5   462.1   539.0   777.2  2355.6  6346.0 158492.6   158594
read      252.3   151.5    59.1   126.8   140.7   223.5   270.8   299.9   321.8   349.3   387.1   452.2   658.5  1610.6  5114.4 141461.0   141240
read      268.8   259.2    63.8   118.6   131.3   238.3   287.8   314.6   333.8   356.5   386.3   437.5   877.7  3620.9  7814.9  41431.5    41405
read      280.6   307.9    68.9   117.1   129.5   236.6   297.6   333.1   358.1   386.1   421.6   482.7   973.2  5078.0  8086.6  58104.6    57997
