Random waveform, supplied seed
Total number of intervals = 98 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757)
Average QPS expected = 94373
Timestamp start: 1747300005184
Timestamp end: 1747300785518

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      230.1   197.6    86.8   133.6   148.4   207.7   231.6   246.3   257.4   272.5   295.5   348.5   706.9  2653.4  7858.5   8145.1     8195
read      329.2   414.7    68.9   138.2   157.7   257.7   304.4   334.5   359.9   394.9   451.9   583.5  2521.6  4529.2  9655.5 158267.5   158594
read      253.8   167.0    68.9   120.9   136.0   220.9   266.3   294.2   316.3   344.8   389.1   480.7   779.6  2032.9  3982.8 149803.0   149766
read      221.6   137.0    80.4   127.6   142.6   206.2   230.8   245.4   256.1   271.0   292.9   340.3   562.6  1783.9  7164.5  10414.9    10382
read      367.6   356.4    74.4   163.5   188.1   295.5   348.4   384.7   414.5   455.9   524.5   742.1  1640.7  4215.8  8846.0 170341.9   170548
read      265.5   185.1    68.9   125.2   141.5   232.1   278.0   306.4   328.8   359.0   404.5   500.1   810.6  1987.4  5821.7 150553.1   150565
read      246.1   192.7    68.9   115.2   128.8   211.2   258.1   286.9   308.8   336.2   375.5   463.5   768.5  2317.7  7035.8 136681.4   137144
read      253.0   179.7    68.9   118.3   132.6   217.5   264.0   292.5   315.0   344.0   389.4   486.0   811.1  2367.5  4689.5 143578.8   143496
read      249.4   175.3    68.9   118.9   133.1   216.9   262.5   290.5   312.3   340.0   380.9   467.3   730.0  2316.8  5771.5 145002.6   144743
read      240.8   174.6    68.9   111.1   123.0   205.6   256.2   286.0   307.5   334.0   370.9   458.2   787.7  1868.1  4947.2 116965.9   116745
read      241.0   172.5    68.9   113.3   126.3   207.8   255.6   284.6   306.0   332.4   369.7   450.9   737.4  2059.7  4743.9 129515.6   129314
read      252.9   205.2    68.9   118.9   133.4   218.8   264.8   292.6   314.4   342.2   384.3   470.2   758.5  2753.2  7489.6 144917.5   144723
read      241.1   159.8    68.9   110.2   121.8   204.0   255.1   285.5   307.7   335.2   374.5   477.7   850.9  1718.7  2937.0 117277.8   117379
read      247.3   182.0    68.9   110.9   123.0   207.3   258.7   289.3   312.0   340.4   383.8   491.5   934.2  2076.1  4325.7 119793.6   119931
read      268.4   242.7    68.9   115.3   129.4   217.3   267.0   297.4   321.4   354.4   407.9   554.4  1296.9  2699.7  7190.7 132020.0   132052
read      245.9   175.6    68.9   116.5   130.4   213.8   259.8   288.0   309.7   337.3   376.8   462.6   720.7  1917.8  6509.9 143610.6   143350
read      249.1   176.8    68.9   117.1   131.3   215.6   261.9   290.4   312.4   340.4   382.7   471.3   754.4  2324.2  4879.4 143320.6   143518
read      287.4   182.8    74.4   140.4   159.9   258.3   304.8   333.7   356.8   387.2   430.4   508.8   765.7  2153.5  6734.8 172866.0   172981
read      228.3   141.4    68.9   106.3   116.9   201.3   254.7   282.4   301.3   323.5   354.6   417.1   619.4  1466.4  4245.0  93711.9    94027
read      279.9   176.2    68.9   136.4   154.5   250.9   296.8   325.6   348.1   378.4   422.9   502.2   735.9  2274.4  5509.0 169812.2   170019
read      297.7   179.1    68.9   144.1   164.0   269.8   321.3   353.3   377.6   408.1   450.7   522.7   731.4  2024.8  6307.4 179099.1   179090
read      242.9   200.0    68.9   104.4   115.3   224.9   272.1   297.0   314.6   334.7   359.9   400.1   622.6  2717.9  7418.9  47149.9    47130
read      214.8   119.5    74.4   111.4   125.6   209.0   234.3   248.4   258.1   269.8   285.4   311.1   451.0  1751.2  2963.3  19401.0    19439
