Random waveform, supplied seed
Total number of intervals = 156 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865)
Average QPS expected = 93335
Timestamp start: 1747295002733
Timestamp end: 1747295783079

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      214.2   173.5    80.4   126.0   143.4   205.0   223.1   232.7   240.4   250.0   263.1   285.3   399.3  2307.4  7645.5   8188.4     8195
read      346.8   517.4    74.4   135.3   154.6   264.4   313.6   344.4   370.2   403.0   454.2   549.0  3291.4  6372.9 12842.2 158311.8   158594
read      244.8   231.5    68.9   114.8   128.6   209.4   253.1   279.7   299.5   323.0   355.4   409.6   857.5  3364.1  6427.3 149506.2   149766
read      204.9   140.7    80.4   122.0   138.7   194.0   212.9   223.7   231.4   241.4   254.7   279.0   436.5  1964.2  6376.3  10354.4    10382
read      379.9   383.6    74.4   158.9   183.5   297.5   351.8   387.7   416.6   456.4   522.2  1040.4  1692.5  4689.3  8502.0 170368.4   170548
read      241.1   173.3    68.9   117.8   132.4   216.8   260.7   287.2   306.8   330.3   362.0   414.8   573.2  2404.4  7079.6 150359.8   150565
read      215.6   134.1    68.9   108.1   119.0   190.0   231.6   258.1   278.2   302.1   332.1   375.6   523.0  1773.8  3197.1 137194.4   137144
read      224.3   135.9    68.9   111.6   123.9   199.0   242.1   269.2   289.1   312.5   342.2   389.5   544.9  1788.1  3570.0 143461.8   143496
read      228.3   162.8    68.9   111.4   123.6   199.9   245.3   272.6   292.8   316.2   345.5   393.6   581.8  2323.7  5208.0 144535.0   144743
read      216.7   168.7    68.9   104.3   114.6   187.4   236.2   266.8   288.0   311.6   339.8   381.1   516.5  2118.8  7716.1 116949.0   116745
read      216.7   132.3    68.9   106.7   117.5   189.2   236.8   266.0   286.4   309.5   337.5   378.8   517.1  1619.4  3912.1 129474.6   129314
read      228.6   149.0    68.9   112.2   124.7   202.1   247.4   274.2   293.9   316.9   345.7   392.9   575.8  2184.2  3786.9 144968.0   144723
read      214.8   165.7    68.9   104.6   114.7   187.9   238.2   268.0   288.4   311.1   338.2   378.1   498.5  1248.5  8198.8 117419.8   117379
read      214.7   110.7    68.9   105.4   115.8   190.1   239.7   269.0   289.4   312.1   339.4   379.7   505.3  1163.1  2450.8 119921.8   119931
read      224.0   166.8    68.9   108.5   119.5   195.7   242.6   270.7   290.7   313.7   342.3   387.3   563.1  2433.2  6360.2 131903.8   132052
read      229.1   161.6    68.9   111.6   124.0   203.1   248.7   275.3   295.0   317.5   345.7   392.0   552.1  2288.4  4175.4 143432.6   143350
read      231.1   178.8    68.9   111.8   124.3   202.8   248.5   275.0   294.4   316.6   344.6   391.2   585.3  3086.1  4604.9 143378.0   143518
read      269.1   162.1    68.9   130.6   147.9   244.5   292.8   320.5   342.2   368.7   403.7   465.0   631.6  1958.4  5346.9 173155.4   172981
read      247.4   257.8    68.9   103.7   114.1   203.9   261.6   293.2   316.4   345.4   391.2   478.2   849.8  3323.3 10399.7  94319.4    94027
read      297.9   267.0    68.9   135.3   154.0   257.1   305.4   334.4   357.4   387.2   429.6   509.5  1390.6  3512.1  8693.2 169964.4   170019
read      293.4   197.2    74.4   130.8   149.3   258.6   322.7   363.9   393.4   427.2   468.4   532.1   675.0  2744.3  6736.9 179303.2   179090
read      260.5   319.6    74.4   104.1   115.3   227.1   277.0   304.9   324.8   348.2   377.5   425.9   828.2  5998.1  8409.8  47220.2    47130
read      220.1   130.9    68.9   111.5   127.1   212.7   238.6   253.2   264.0   275.3   293.1   320.2   437.1  1895.2  3400.5  19396.0    19439
read      370.5   471.3    68.9   119.5   136.4   248.2   301.7   336.3   366.9   418.8   613.0  1411.2  1884.1  4996.6  9198.2 129076.4   128963
read      228.3   161.0    74.4   109.4   122.8   216.9   246.6   263.0   274.3   289.2   308.4   341.4   594.6  2203.4  6277.5  23836.2    23787
read      261.1   279.2    68.9   101.9   112.2   230.6   287.1   318.5   341.6   367.2   398.3   448.9   817.2  4046.2  9584.6  61848.6    61848
read      257.5   260.6    68.9   106.3   117.4   207.0   265.6   299.8   326.8   363.9   424.1   537.1  1007.8  3175.7  9044.7 101737.2   101968
read      227.2   142.5    68.9   105.4   115.8   193.7   246.1   276.9   298.4   323.6   359.6   430.4   730.9  1477.4  3187.1 108637.8   108767
read      216.8   137.6    68.9   103.3   113.0   190.1   243.6   273.0   292.9   315.0   343.6   392.5   529.3  1182.0  5270.0  97069.2    97139
read      238.6   166.3    68.9   119.9   134.0   213.7   256.3   281.9   300.6   323.3   355.0   406.2   570.8  2719.4  4986.1 158515.6   158594
read      223.8   170.1    68.9   110.9   122.5   195.4   239.1   266.5   285.9   308.7   338.0   386.4   553.2  2508.1  6122.0 141346.8   141240
read      237.3   189.4    68.9   104.8   115.8   224.1   265.3   287.7   303.7   322.3   347.3   387.6   507.2  2972.9  6953.8  41501.0    41405
read      267.3   318.2    68.9   102.6   113.2   231.9   287.2   317.7   340.1   365.6   396.2   448.0   974.8  6090.3  7870.5  57893.2    57997
read      310.2   418.0    74.4   115.1   129.5   226.5   277.1   306.5   328.9   359.1   407.4   693.4  1770.3  5962.4  8456.7 133580.0   133577
read      248.2   275.9    68.9   102.7   113.0   223.3   270.6   295.9   315.0   338.5   368.5   414.9   689.4  4700.1  8994.0  53776.2    53832
read      339.1   510.6    68.9   120.5   137.0   243.5   294.4   323.4   346.5   378.8   432.1   629.9  3215.6  7000.9 10049.6 139746.4   139832
read      253.8   168.8    74.4   127.5   143.3   232.0   276.2   302.2   320.8   344.5   375.8   428.3   565.8  1844.7  6739.9 170580.6   170515
read      221.0   185.2    68.9   107.6   118.2   190.6   236.0   264.5   284.6   307.7   336.6   382.9   552.9  2790.2  7364.1 128633.4   128494
read      216.8   110.7    74.4   111.0   125.6   210.5   236.6   251.4   262.3   274.3   291.8   319.3   425.7  1629.1  2764.5  20708.2    20789
read      267.9   326.5    68.9   102.2   112.6   231.1   289.5   321.4   345.2   371.7   403.5   457.8   929.4  5931.7  9118.2  63900.6    63647
read      266.2   351.7    68.9   102.2   112.6   230.2   288.4   320.2   344.2   370.7   402.0   453.7   785.7  5882.7 11549.8  64794.8    64802
read      258.4   295.5    68.9   101.9   112.2   230.3   283.3   312.3   333.3   357.7   386.8   432.4   735.0  4949.6  9043.8  55717.4    55719
read      374.8   402.0    74.4   162.2   186.8   298.7   352.8   387.3   413.6   447.5   497.9   648.7  1784.5  5058.9  8091.7 174183.4   174179
read      218.3   149.2    68.9   104.8   115.2   191.9   240.8   269.1   288.8   310.9   339.1   386.6   553.7  1569.9  5217.8 106270.4   106356
read      282.7   178.1    68.9   136.0   154.2   256.7   310.0   341.4   365.2   393.5   430.1   489.0   631.3  2087.9  6598.1 178793.2   178750
read      215.0   177.3    68.9   103.5   113.2   186.5   236.3   265.6   285.4   307.1   333.5   373.7   513.4  2075.9  7423.8 105696.4   105831
read      215.6   172.9    68.9   104.4   114.3   186.6   236.3   266.1   286.4   308.7   336.2   379.8   536.1  1721.7  7472.0 110745.8   110667
read      199.8   148.6    80.4   127.1   141.3   187.0   205.2   215.9   223.9   232.8   246.7   271.9   386.3  2115.6  7697.6   8788.0     8803
read      256.7   301.9    68.9   103.2   114.0   230.2   279.1   305.1   322.5   344.2   371.0   414.3   731.9  6139.8  8301.2  45519.2    45662
read      239.6   194.5    74.4   106.6   118.4   224.9   262.8   282.6   295.8   311.9   332.9   368.8   638.5  2940.5  6772.7  30767.2    30867
read      253.7   262.9    68.9   103.0   113.8   229.6   277.9   303.6   320.8   342.6   369.4   412.3   753.9  3980.2  7802.4  45571.8    45656
read      252.0   293.5    68.9   105.0   115.6   201.4   258.3   290.3   313.5   342.9   389.8   496.2  1145.5  3212.6 11705.9 101156.2   100938
read      219.8   182.2    68.9   109.1   119.9   191.1   235.5   263.5   283.4   306.2   335.0   379.8   530.6  2237.5  7793.7 132380.4   132360
read      258.2   300.2    68.9   102.3   112.5   225.8   282.8   314.3   337.9   365.2   397.9   452.5   751.4  4976.0  9907.8  67635.6    67591
read      243.2   220.7    74.4   105.1   116.7   223.9   264.4   285.4   299.4   315.8   338.1   373.7   754.4  3462.3  5982.2  34005.0    33910
read      249.8   315.2    68.9   103.6   113.7   204.2   261.7   291.8   313.2   339.8   377.8   451.9  1119.4  3958.3 11667.9  85585.0    85729
read      212.2   183.4    74.4   118.8   138.2   196.7   218.1   230.0   238.2   249.5   264.8   291.6   539.1  2613.7  7813.1  12979.8    12884
read      256.8   299.4    68.9   103.6   114.5   231.4   280.7   307.1   325.1   346.5   372.9   416.4   694.9  6000.9  8963.0  45615.0    45621
read      254.6   296.5    68.9   105.8   118.0   228.8   272.5   295.1   310.7   328.6   352.7   392.8   734.6  5188.1  7907.9  36991.8    36938
