Random waveform, supplied seed
Total number of intervals = 98 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757)
Average QPS expected = 94373
Timestamp start: 1747301009018
Timestamp end: 1747301789344

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      202.1   171.0    74.4   129.7   143.2   187.7   205.7   215.4   222.7   231.5   244.2   267.0   446.4  2589.4  7324.7   8144.9     8195
read      286.8   412.7    68.9   121.2   136.7   227.1   271.3   296.7   316.2   340.3   373.2   435.9  2713.5  5129.5 10365.1 158445.1   158594
read      212.0   149.4    68.9   110.1   121.2   187.7   226.3   250.3   268.6   290.2   316.9   357.6   465.4  2242.2  4856.2 149748.2   149766
read      194.0   119.5    80.4   120.7   135.4   184.6   204.1   214.8   222.6   231.7   244.4   265.6   373.3  1800.9  3956.2  10478.2    10382
read      323.8   351.8    68.9   142.8   163.9   266.9   311.5   338.3   359.4   386.3   425.9   517.1  1589.0  4260.7  9390.0 170589.9   170548
read      216.5   156.6    68.9   112.0   123.9   192.6   231.3   255.4   273.5   295.0   321.2   363.0   484.6  2026.5  6172.4 150694.1   150565
read      209.1   138.0    68.9   107.5   118.3   184.3   224.7   250.5   269.9   292.2   318.9   359.0   464.4  1866.0  4905.3 137000.0   137144
read      221.0   199.8    68.9   110.0   121.1   189.9   231.1   257.3   276.2   298.9   327.0   369.6   558.8  3031.8  6750.1 143522.5   143496
read      213.1   160.7    68.9   109.8   120.8   188.1   228.2   253.1   271.8   293.6   320.2   360.9   460.4  2779.6  5683.1 144626.2   144743
read      207.7   143.7    68.9   104.1   114.1   180.3   225.4   254.0   274.8   298.0   325.0   364.1   481.2  1490.0  6153.0 116740.5   116745
read      207.0   125.1    68.9   105.6   116.1   181.8   223.5   250.6   271.0   294.3   321.6   362.5   470.1  1584.1  3794.0 129403.9   129314
read      219.5   178.4    68.9   111.0   122.6   191.3   231.7   257.2   275.8   297.8   325.6   368.4   525.5  2595.7  6855.4 144722.8   144723
read      218.9   169.9    68.9   105.6   115.9   184.7   231.1   260.8   282.1   306.4   335.9   383.7   804.6  1796.1  3947.3 117355.4   117379
read      209.8   152.8    68.9   105.2   115.3   181.8   226.6   255.2   275.8   299.1   326.5   365.9   484.5  1991.7  6096.0 119861.0   119931
read      215.6   170.6    68.9   107.6   118.3   186.2   229.6   256.6   276.3   299.2   327.3   369.0   538.8  2512.1  6140.0 131949.5   132052
read      214.9   184.1    68.9   109.4   120.3   188.0   228.9   253.9   272.3   293.8   320.0   361.1   487.3  3042.1  7367.1 143220.1   143350
read      223.8   187.6    68.9   110.2   121.5   191.2   232.8   258.8   277.9   300.8   329.8   373.8   899.8  2526.1  6104.8 143416.0   143518
read      235.3   160.7    68.9   122.5   137.6   216.3   254.7   277.1   293.9   314.2   340.8   385.0   501.6  2222.5  6576.5 173126.8   172981
read      208.1   120.0    68.9   102.9   112.3   182.6   236.6   267.1   286.8   307.8   332.3   367.9   457.9   755.4  4515.9  94005.4    94027
read      227.7   166.6    68.9   120.2   134.3   208.9   245.9   267.8   283.9   303.0   328.1   367.9   466.9  2423.1  6978.3 169977.9   170019
read      267.0   193.0    68.9   133.3   150.3   241.8   287.4   314.7   336.1   363.0   399.1   459.5   594.7  2299.2  8020.2 179056.0   179090
